,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,block,condition,iti,isi,high_group_on_left,left_group_value,right_group_value,left_item_value,right_item_value,left_img,right_img,left_img_path,right_img_path,onset,duration,no_response,left_chosen,chosen_group_value,unchosen_group_value,chosen_item_value,unchosen_item_value,chosen_img,unchosen_img,total_bonus_tally
10,,isi,,html-keyboard-response,10,55036,0.0-1.0-12.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,10.5,3.0,,,,,,,,,
11,,feedback,,html-keyboard-response,11,56042,0.0-1.0-13.0-0.0,0,0,59346,,,,,,1.0,,,,,,,,,,,,,,,11.5,1.0,,,,,,,,,
12,,iti,,html-keyboard-response,12,57545,0.0-1.0-14.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,13.0,1.5,,,,,,,,,
13,,rl_choice,,html-keyboard-response,13,57865,0.0-1.0-16.0,0,0,59346,,317.0,,,68.0,2.0,2.0,1.0,hard,2000.0,3000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,13.317,0.317,0.0,1.0,40.0,60.0,40.0,40.0,A,B,
14,,rl_choice_confirmation,,html-keyboard-response,14,59052,0.0-1.0-17.0-0.0,0,0,59346,,,,,,2.0,,,,,,,,,,,,,,,14.5,1.183,,,,,,,,,
15,,isi,,html-keyboard-response,15,62057,0.0-1.0-19.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,17.5,3.0,,,,,,,,,
16,,feedback,,html-keyboard-response,16,63062,0.0-1.0-20.0-0.0,0,0,59346,,,,,,2.0,,,,,,,,,,,,,,,18.5,1.0,,,,,,,,,
17,,iti,,html-keyboard-response,17,65065,0.0-1.0-21.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,20.5,2.0,,,,,,,,,
18,,rl_choice,,html-keyboard-response,18,65518,0.0-1.0-23.0,0,0,59346,,450.0,,,75.0,3.0,3.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,20.95,0.45,0.0,0.0,60.0,40.0,40.0,40.0,B,A,
19,,rl_choice_confirmation,,html-keyboard-response,19,66571,0.0-1.0-24.0-0.0,0,0,59346,,,,,,3.0,,,,,,,,,,,,,,,22.0,1.05,,,,,,,,,
20,,isi,,html-keyboard-response,20,67574,0.0-1.0-26.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,23.0,1.0,,,,,,,,,
21,,feedback,,html-keyboard-response,21,68577,0.0-1.0-27.0-0.0,0,0,59346,,,,,,3.0,,,,,,,,,,,,,,,24.0,1.0,,,,,,,,,
22,,iti,,html-keyboard-response,22,69581,0.0-1.0-28.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,25.0,1.0,,,,,,,,,
23,,rl_choice,,html-keyboard-response,23,70083,0.0-1.0-30.0,0,0,59346,,500.0,,,68.0,4.0,4.0,1.0,hard,3500.0,3500.0,1.0,60.0,40.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,25.5,0.5,0.0,1.0,60.0,40.0,60.0,20.0,B,A,
24,,rl_choice_confirmation,,html-keyboard-response,24,71088,0.0-1.0-31.0-0.0,0,0,59346,,,,,,4.0,,,,,,,,,,,,,,,26.5,1.0,,,,,,,,,
25,,isi,,html-keyboard-response,25,74595,0.0-1.0-33.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,30.0,3.5,,,,,,,,,
26,,feedback,,html-keyboard-response,26,75598,0.0-1.0-34.0-0.0,0,0,59346,,,,,,4.0,,,,,,,,,,,,,,,31.0,1.0,,,,,,,,,
27,,iti,,html-keyboard-response,27,79102,0.0-1.0-35.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,34.5,3.5,,,,,,,,,
28,,rl_choice,,html-keyboard-response,28,79396,0.0-1.0-37.0,0,0,59346,,291.0,,,75.0,5.0,5.0,1.0,hard,1500.0,1000.0,0.0,40.0,60.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,34.791,0.291,0.0,0.0,60.0,40.0,60.0,20.0,B,A,
29,,rl_choice_confirmation,,html-keyboard-response,29,80609,0.0-1.0-38.0-0.0,0,0,59346,,,,,,5.0,,,,,,,,,,,,,,,36.0,1.209,,,,,,,,,
30,,isi,,html-keyboard-response,30,81612,0.0-1.0-40.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,37.0,1.0,,,,,,,,,
31,,feedback,,html-keyboard-response,31,82615,0.0-1.0-41.0-0.0,0,0,59346,,,,,,5.0,,,,,,,,,,,,,,,38.0,1.0,,,,,,,,,
32,,iti,,html-keyboard-response,32,84117,0.0-1.0-42.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,39.5,1.5,,,,,,,,,
33,,rl_choice,,html-keyboard-response,33,84615,0.0-1.0-44.0,0,0,59346,,495.0,,,68.0,6.0,6.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,40.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,39.995,0.495,0.0,1.0,40.0,60.0,40.0,60.0,A,B,
34,,rl_choice_confirmation,,html-keyboard-response,34,85624,0.0-1.0-45.0-0.0,0,0,59346,,,,,,6.0,,,,,,,,,,,,,,,41.0,1.005,,,,,,,,,
35,,isi,,html-keyboard-response,35,86627,0.0-1.0-47.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,42.0,1.0,,,,,,,,,
36,,feedback,,html-keyboard-response,36,87631,0.0-1.0-48.0-0.0,0,0,59346,,,,,,6.0,,,,,,,,,,,,,,,43.0,1.0,,,,,,,,,
37,,iti,,html-keyboard-response,37,88633,0.0-1.0-49.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,44.0,1.0,,,,,,,,,
38,,rl_choice,,html-keyboard-response,38,89206,0.0-1.0-51.0,0,0,59346,,570.0,,,68.0,7.0,7.0,1.0,hard,3000.0,1500.0,0.0,40.0,60.0,20.0,40.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,44.57,0.57,0.0,1.0,40.0,60.0,20.0,40.0,A,B,
39,,rl_choice_confirmation,,html-keyboard-response,39,90141,0.0-1.0-52.0-0.0,0,0,59346,,,,,,7.0,,,,,,,,,,,,,,,45.5,0.93,,,,,,,,,
40,,isi,,html-keyboard-response,40,91644,0.0-1.0-54.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,47.0,1.5,,,,,,,,,
41,,feedback,,html-keyboard-response,41,92647,0.0-1.0-55.0-0.0,0,0,59346,,,,,,7.0,,,,,,,,,,,,,,,48.0,1.0,,,,,,,,,
42,,iti,,html-keyboard-response,42,95649,0.0-1.0-56.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,51.0,3.0,,,,,,,,,
43,,rl_choice,,html-keyboard-response,43,96095,0.0-1.0-58.0,0,0,59346,,443.0,,,75.0,8.0,8.0,1.0,hard,1000.0,2000.0,1.0,60.0,40.0,60.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,51.443,0.443,0.0,0.0,40.0,60.0,60.0,60.0,A,B,
44,,rl_choice_confirmation,,html-keyboard-response,44,97155,0.0-1.0-59.0-0.0,0,0,59346,,,,,,8.0,,,,,,,,,,,,,,,52.5,1.057,,,,,,,,,
45,,isi,,html-keyboard-response,45,99171,0.0-1.0-61.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,54.5,2.0,,,,,,,,,
46,,feedback,,html-keyboard-response,46,100176,0.0-1.0-62.0-0.0,0,0,59346,,,,,,8.0,,,,,,,,,,,,,,,55.5,1.0,,,,,,,,,
47,,iti,,html-keyboard-response,47,101179,0.0-1.0-63.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,56.5,1.0,,,,,,,,,
48,,rl_choice,,html-keyboard-response,48,101640,0.0-1.0-65.0,0,0,59346,,456.0,,,68.0,9.0,9.0,1.0,hard,2000.0,2000.0,1.0,60.0,40.0,80.0,60.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,56.956,0.456,0.0,1.0,60.0,40.0,80.0,60.0,B,A,
49,,rl_choice_confirmation,,html-keyboard-response,49,102687,0.0-1.0-66.0-0.0,0,0,59346,,,,,,9.0,,,,,,,,,,,,,,,58.0,1.044,,,,,,,,,
50,,isi,,html-keyboard-response,50,104689,0.0-1.0-68.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,60.0,2.0,,,,,,,,,
51,,feedback,,html-keyboard-response,51,105693,0.0-1.0-69.0-0.0,0,0,59346,,,,,,9.0,,,,,,,,,,,,,,,61.0,1.0,,,,,,,,,
52,,iti,,html-keyboard-response,52,107697,0.0-1.0-70.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,63.0,2.0,,,,,,,,,
53,,rl_choice,,html-keyboard-response,53,108100,0.0-1.0-72.0,0,0,59346,,401.0,,,75.0,10.0,10.0,1.0,hard,2000.0,2000.0,0.0,40.0,60.0,20.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,63.401,0.401,0.0,0.0,60.0,40.0,60.0,20.0,B,A,
54,,rl_choice_confirmation,,html-keyboard-response,54,109201,0.0-1.0-73.0-0.0,0,0,59346,,,,,,10.0,,,,,,,,,,,,,,,64.5,1.099,,,,,,,,,
55,,isi,,html-keyboard-response,55,111204,0.0-1.0-75.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,66.5,2.0,,,,,,,,,
56,,feedback,,html-keyboard-response,56,112207,0.0-1.0-76.0-0.0,0,0,59346,,,,,,10.0,,,,,,,,,,,,,,,67.5,1.0,,,,,,,,,
57,,iti,,html-keyboard-response,57,114211,0.0-1.0-77.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,69.5,2.0,,,,,,,,,
58,,rl_choice,,html-keyboard-response,58,114607,0.0-1.0-79.0,0,0,59346,,393.0,,,68.0,11.0,11.0,1.0,easy,1500.0,2000.0,1.0,80.0,20.0,100.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,69.893,0.393,0.0,1.0,80.0,20.0,100.0,20.0,D,C,
59,,rl_choice_confirmation,,html-keyboard-response,59,115718,0.0-1.0-80.0-0.0,0,0,59346,,,,,,11.0,,,,,,,,,,,,,,,71.0,1.107,,,,,,,,,
60,,isi,,html-keyboard-response,60,117720,0.0-1.0-82.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,73.0,2.0,,,,,,,,,
61,,feedback,,html-keyboard-response,61,118723,0.0-1.0-83.0-0.0,0,0,59346,,,,,,11.0,,,,,,,,,,,,,,,74.0,1.0,,,,,,,,,
62,,iti,,html-keyboard-response,62,120227,0.0-1.0-84.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,75.5,1.5,,,,,,,,,
63,,rl_choice,,html-keyboard-response,63,120578,0.0-1.0-86.0,0,0,59346,,350.0,,,75.0,12.0,12.0,1.0,hard,1000.0,1500.0,1.0,60.0,40.0,40.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,75.85,0.35,0.0,0.0,40.0,60.0,20.0,40.0,A,B,
64,,rl_choice_confirmation,,html-keyboard-response,64,121732,0.0-1.0-87.0-0.0,0,0,59346,,,,,,12.0,,,,,,,,,,,,,,,77.0,1.15,,,,,,,,,
65,,isi,,html-keyboard-response,65,123235,0.0-1.0-89.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,78.5,1.5,,,,,,,,,
66,,feedback,,html-keyboard-response,66,124238,0.0-1.0-90.0-0.0,0,0,59346,,,,,,12.0,,,,,,,,,,,,,,,79.5,1.0,,,,,,,,,
67,,iti,,html-keyboard-response,67,125241,0.0-1.0-91.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,80.5,1.0,,,,,,,,,
68,,rl_choice,,html-keyboard-response,68,125530,0.0-1.0-93.0,0,0,59346,,286.0,,,68.0,13.0,13.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,100.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,80.786,0.286,0.0,1.0,80.0,20.0,100.0,40.0,D,C,
69,,rl_choice_confirmation,,html-keyboard-response,69,126749,0.0-1.0-94.0-0.0,0,0,59346,,,,,,13.0,,,,,,,,,,,,,,,82.0,1.214,,,,,,,,,
70,,isi,,html-keyboard-response,70,128252,0.0-1.0-96.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,83.5,1.5,,,,,,,,,
71,,feedback,,html-keyboard-response,71,129255,0.0-1.0-97.0-0.0,0,0,59346,,,,,,13.0,,,,,,,,,,,,,,,84.5,1.0,,,,,,,,,
72,,iti,,html-keyboard-response,72,130757,0.0-1.0-98.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,86.0,1.5,,,,,,,,,
73,,rl_choice,,html-keyboard-response,73,131077,0.0-1.0-100.0,0,0,59346,,316.0,,,68.0,14.0,14.0,1.0,easy,1000.0,1000.0,0.0,20.0,80.0,0.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,86.316,0.316,0.0,1.0,20.0,80.0,0.0,60.0,C,D,
74,,rl_choice_confirmation,,html-keyboard-response,74,132267,0.0-1.0-101.0-0.0,0,0,59346,,,,,,14.0,,,,,,,,,,,,,,,87.5,1.184,,,,,,,,,
75,,isi,,html-keyboard-response,75,133270,0.0-1.0-103.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,88.5,1.0,,,,,,,,,
76,,feedback,,html-keyboard-response,76,134274,0.0-1.0-104.0-0.0,0,0,59346,,,,,,14.0,,,,,,,,,,,,,,,89.5,1.0,,,,,,,,,
77,,iti,,html-keyboard-response,77,135277,0.0-1.0-105.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,90.5,1.0,,,,,,,,,
78,,rl_choice,,html-keyboard-response,78,135585,0.0-1.0-107.0,0,0,59346,,306.0,,,75.0,15.0,15.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,20.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,90.806,0.306,0.0,0.0,80.0,20.0,100.0,20.0,D,C,
79,,rl_choice_confirmation,,html-keyboard-response,79,136783,0.0-1.0-108.0-0.0,0,0,59346,,,,,,15.0,,,,,,,,,,,,,,,92.0,1.194,,,,,,,,,
80,,isi,,html-keyboard-response,80,138786,0.0-1.0-110.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,94.0,2.0,,,,,,,,,
81,,feedback,,html-keyboard-response,81,139792,0.0-1.0-111.0-0.0,0,0,59346,,,,,,15.0,,,,,,,,,,,,,,,95.0,1.0,,,,,,,,,
82,,iti,,html-keyboard-response,82,140795,0.0-1.0-112.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,96.0,1.0,,,,,,,,,
83,,rl_choice,,html-keyboard-response,83,141176,0.0-1.0-114.0,0,0,59346,,379.0,,,68.0,16.0,16.0,1.0,hard,1000.0,1000.0,1.0,60.0,40.0,60.0,20.0,B,A,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,96.379,0.379,0.0,1.0,60.0,40.0,60.0,20.0,B,A,
84,,rl_choice_confirmation,,html-keyboard-response,84,142301,0.0-1.0-115.0-0.0,0,0,59346,,,,,,16.0,,,,,,,,,,,,,,,97.5,1.121,,,,,,,,,
85,,isi,,html-keyboard-response,85,143304,0.0-1.0-117.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,98.5,1.0,,,,,,,,,
86,,feedback,,html-keyboard-response,86,144308,0.0-1.0-118.0-0.0,0,0,59346,,,,,,16.0,,,,,,,,,,,,,,,99.5,1.0,,,,,,,,,
87,,iti,,html-keyboard-response,87,145311,0.0-1.0-119.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,100.5,1.0,,,,,,,,,
88,,rl_choice,,html-keyboard-response,88,145859,0.0-1.0-121.0,0,0,59346,,545.0,,,68.0,17.0,17.0,1.0,easy,1000.0,2000.0,0.0,20.0,80.0,40.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,101.045,0.545,0.0,1.0,20.0,80.0,40.0,100.0,C,D,
89,,rl_choice_confirmation,,html-keyboard-response,89,146818,0.0-1.0-122.0-0.0,0,0,59346,,,,,,17.0,,,,,,,,,,,,,,,102.0,0.955,,,,,,,,,
90,,isi,,html-keyboard-response,90,148822,0.0-1.0-124.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,104.0,2.0,,,,,,,,,
91,,feedback,,html-keyboard-response,91,149826,0.0-1.0-125.0-0.0,0,0,59346,,,,,,17.0,,,,,,,,,,,,,,,105.0,1.0,,,,,,,,,
92,,iti,,html-keyboard-response,92,150829,0.0-1.0-126.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,106.0,1.0,,,,,,,,,
93,,rl_choice,,html-keyboard-response,93,151505,0.0-1.0-128.0,0,0,59346,,673.0,,,75.0,18.0,18.0,1.0,easy,2000.0,1000.0,0.0,20.0,80.0,0.0,100.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,106.673,0.673,0.0,0.0,80.0,20.0,100.0,0.0,D,C,
94,,rl_choice_confirmation,,html-keyboard-response,94,152336,0.0-1.0-129.0-0.0,0,0,59346,,,,,,18.0,,,,,,,,,,,,,,,107.5,0.827,,,,,,,,,
95,,isi,,html-keyboard-response,95,153337,0.0-1.0-131.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,108.5,1.0,,,,,,,,,
96,,feedback,,html-keyboard-response,96,154342,0.0-1.0-132.0-0.0,0,0,59346,,,,,,18.0,,,,,,,,,,,,,,,109.5,1.0,,,,,,,,,
97,,iti,,html-keyboard-response,97,156344,0.0-1.0-133.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,111.5,2.0,,,,,,,,,
98,,rl_choice,,html-keyboard-response,98,156867,0.0-1.0-135.0,0,0,59346,,521.0,,,68.0,19.0,19.0,1.0,hard,1500.0,1500.0,0.0,40.0,60.0,60.0,60.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,112.021,0.521,0.0,1.0,40.0,60.0,60.0,60.0,A,B,
99,,rl_choice_confirmation,,html-keyboard-response,99,157851,0.0-1.0-136.0-0.0,0,0,59346,,,,,,19.0,,,,,,,,,,,,,,,113.0,0.979,,,,,,,,,
100,,isi,,html-keyboard-response,100,159353,0.0-1.0-138.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,114.5,1.5,,,,,,,,,
101,,feedback,,html-keyboard-response,101,160358,0.0-1.0-139.0-0.0,0,0,59346,,,,,,19.0,,,,,,,,,,,,,,,115.5,1.0,,,,,,,,,
102,,iti,,html-keyboard-response,102,161861,0.0-1.0-140.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,117.0,1.5,,,,,,,,,
103,,rl_choice,,html-keyboard-response,103,162260,0.0-1.0-142.0,0,0,59346,,396.0,,,75.0,20.0,20.0,1.0,easy,1000.0,1000.0,1.0,80.0,20.0,60.0,40.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,117.396,0.396,0.0,0.0,20.0,80.0,40.0,60.0,C,D,
104,,rl_choice_confirmation,,html-keyboard-response,104,163367,0.0-1.0-143.0-0.0,0,0,59346,,,,,,20.0,,,,,,,,,,,,,,,118.5,1.104,,,,,,,,,
105,,isi,,html-keyboard-response,105,164369,0.0-1.0-145.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,119.5,1.0,,,,,,,,,
106,,feedback,,html-keyboard-response,106,165373,0.0-1.0-146.0-0.0,0,0,59346,,,,,,20.0,,,,,,,,,,,,,,,120.5,1.0,,,,,,,,,
107,,iti,,html-keyboard-response,107,166376,0.0-1.0-147.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,121.5,1.0,,,,,,,,,
108,,rl_choice,,html-keyboard-response,108,166732,0.0-1.0-149.0,0,0,59346,,353.0,,,68.0,21.0,21.0,1.0,easy,3500.0,1000.0,1.0,80.0,20.0,60.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,121.853,0.353,0.0,1.0,80.0,20.0,60.0,20.0,D,C,
109,,rl_choice_confirmation,,html-keyboard-response,109,167883,0.0-1.0-150.0-0.0,0,0,59346,,,,,,21.0,,,,,,,,,,,,,,,123.0,1.147,,,,,,,,,
110,,isi,,html-keyboard-response,110,168885,0.0-1.0-152.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,124.0,1.0,,,,,,,,,
111,,feedback,,html-keyboard-response,111,169888,0.0-1.0-153.0-0.0,0,0,59346,,,,,,21.0,,,,,,,,,,,,,,,125.0,1.0,,,,,,,,,
112,,iti,,html-keyboard-response,112,173395,0.0-1.0-154.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,128.5,3.5,,,,,,,,,
113,,rl_choice,,html-keyboard-response,113,173771,0.0-1.0-156.0,0,0,59346,,373.0,,,68.0,22.0,22.0,1.0,easy,1500.0,1500.0,1.0,80.0,20.0,80.0,20.0,D,C,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,128.873,0.373,0.0,1.0,80.0,20.0,80.0,20.0,D,C,
114,,rl_choice_confirmation,,html-keyboard-response,114,174902,0.0-1.0-157.0-0.0,0,0,59346,,,,,,22.0,,,,,,,,,,,,,,,130.0,1.127,,,,,,,,,
115,,isi,,html-keyboard-response,115,176405,0.0-1.0-159.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,131.5,1.5,,,,,,,,,
116,,feedback,,html-keyboard-response,116,177409,0.0-1.0-160.0-0.0,0,0,59346,,,,,,22.0,,,,,,,,,,,,,,,132.5,1.0,,,,,,,,,
117,,iti,,html-keyboard-response,117,178912,0.0-1.0-161.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,134.0,1.5,,,,,,,,,
118,,rl_choice,,html-keyboard-response,118,179332,0.0-1.0-163.0,0,0,59346,,417.0,,,75.0,23.0,23.0,1.0,easy,2000.0,1500.0,0.0,20.0,80.0,20.0,60.0,C,D,/static/Simple_RL/Stimuli/Fractals_stims/C.jpg,/static/Simple_RL/Stimuli/Fractals_stims/D.jpg,134.417,0.417,0.0,0.0,80.0,20.0,60.0,20.0,D,C,
119,,rl_choice_confirmation,,html-keyboard-response,119,180419,0.0-1.0-164.0-0.0,0,0,59346,,,,,,23.0,,,,,,,,,,,,,,,135.5,1.083,,,,,,,,,
120,,isi,,html-keyboard-response,120,181925,0.0-1.0-166.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,137.0,1.5,,,,,,,,,
121,,feedback,,html-keyboard-response,121,182930,0.0-1.0-167.0-0.0,0,0,59346,,,,,,23.0,,,,,,,,,,,,,,,138.0,1.0,,,,,,,,,
122,,iti,,html-keyboard-response,122,184933,0.0-1.0-168.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,140.0,2.0,,,,,,,,,
123,,rl_choice,,html-keyboard-response,123,185331,0.0-1.0-170.0,0,0,59346,,396.0,,,68.0,24.0,24.0,1.0,hard,1000.0,1000.0,0.0,40.0,60.0,60.0,80.0,A,B,/static/Simple_RL/Stimuli/Fractals_stims/A.jpg,/static/Simple_RL/Stimuli/Fractals_stims/B.jpg,140.396,0.396,0.0,1.0,40.0,60.0,60.0,80.0,A,B,
124,,rl_choice_confirmation,,html-keyboard-response,124,186438,0.0-1.0-171.0-0.0,0,0,59346,,,,,,24.0,,,,,,,,,,,,,,,141.5,1.104,,,,,,,,,
125,,isi,,html-keyboard-response,125,187442,0.0-1.0-173.0,0,0,59346,,,,,,,,,,,,,,,,,,,,,142.5,1.0,,,,,,,,,
