,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response,did_not_enter_response
46,,choice,,html-keyboard-response,46,148867,0.0-1.0-10.0-0.0-0.0,0,0,10,,441.0,,,51.0,8.0,8.0,3500.0,1000.0,0.0,1.0,0.0,60-60,,,door knob,dresser,60.0,60.0,door knob7,dresser4,40.0,80.0,doorknob2.jpg,ADRESSE40.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/doorknob2.jpg,/static/Category_learning/Stimuli/Experimental_stims/dresser/ADRESSE40.jpg,0.0,dresser,door knob,60.0,60.0,dresser4,door knob7,80.0,40.0,0.0,19.5,0.441,,,,,,
47,,confirmation,,html-keyboard-response,47,149931,0.0-1.0-10.0-0.0-1.0-0.0,0,0,10,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.941,1.059,,,,,,
48,,isi,,html-keyboard-response,48,153435,0.0-1.0-10.0-0.0-2.0,0,0,10,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.5,,,,,,
49,,feedback,,html-keyboard-response,49,154443,0.0-1.0-10.0-0.0-3.0-0.0,0,0,10,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,1.0,,,,,,
50,,iti,,html-keyboard-response,50,155446,0.0-1.0-10.0-0.0-5.0,0,0,10,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,1.0,,,,,,
51,,choice,,html-keyboard-response,51,156047,0.0-1.0-11.0-0.0-0.0,0,0,10,,596.0,,,50.0,9.0,9.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,0.0,poker card,desk,20.0,60.0,poker card8,desk13,20.0,80.0,22864392.thl.jpg,26427865.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22864392.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/26427865.thl.jpg,1.0,poker card,desk,20.0,60.0,poker card8,desk13,20.0,80.0,0.0,26.5,0.596,,,,,,
52,,confirmation,,html-keyboard-response,52,156960,0.0-1.0-11.0-0.0-1.0-0.0,0,0,10,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.096,0.904,,,,,,
53,,isi,,html-keyboard-response,53,157965,0.0-1.0-11.0-0.0-2.0,0,0,10,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,1.0,,,,,,
54,,feedback,,html-keyboard-response,54,158970,0.0-1.0-11.0-0.0-3.0-0.0,0,0,10,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,
55,,iti,,html-keyboard-response,55,159973,0.0-1.0-11.0-0.0-5.0,0,0,10,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.0,,,,,,
56,,choice,,html-keyboard-response,56,160407,0.0-1.0-12.0-0.0-0.0,0,0,10,,430.0,,,51.0,10.0,10.0,1000.0,1000.0,0.0,1.0,0.0,20-60,,1.0,bench,nail polish,60.0,20.0,bench8,nail polish6,80.0,0.0,APARKBE14.jpg,127_t.jpg,/static/Category_learning/Stimuli/Experimental_stims/bench/APARKBE14.jpg,/static/Category_learning/Stimuli/Experimental_stims/nail polish/127_t.jpg,0.0,nail polish,bench,20.0,60.0,nail polish6,bench8,0.0,80.0,0.0,31.0,0.43,,,,,,
57,,confirmation,,html-keyboard-response,57,161483,0.0-1.0-12.0-0.0-1.0-0.0,0,0,10,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.43,1.07,,,,,,
58,,isi,,html-keyboard-response,58,162491,0.0-1.0-12.0-0.0-2.0,0,0,10,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,1.0,,,,,,
59,,feedback,,html-keyboard-response,59,163499,0.0-1.0-12.0-0.0-3.0-0.0,0,0,10,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.5,1.0,,,,,,
60,,iti,,html-keyboard-response,60,164507,0.0-1.0-12.0-0.0-5.0,0,0,10,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,1.0,,,,,,
61,,choice,,html-keyboard-response,61,164967,0.0-1.0-13.0-0.0-0.0,0,0,10,,456.0,,,50.0,11.0,11.0,1500.0,3000.0,0.0,1.0,0.0,20-80,,0.0,pen,microscope,20.0,80.0,pen11,microscope4,0.0,80.0,pen01.jpg,55071208.JPG,/static/Category_learning/Stimuli/Experimental_stims/pen/pen01.jpg,/static/Category_learning/Stimuli/Experimental_stims/microscope/55071208.JPG,1.0,pen,microscope,20.0,80.0,pen11,microscope4,0.0,80.0,0.0,35.5,0.456,,,,,,
