,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
55,,iti,,html-keyboard-response,55,103231,0.0-1.0-11.0-0.0-5.0,0,0,77,,,,,,9.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,1.5,
56,,choice,,html-keyboard-response,56,104094,0.0-1.0-12.0-0.0-0.0,0,0,77,,857.0,,,50.0,10.0,10.0,2000.0,1500.0,0.0,1.0,1.0,40-60,0.0,,door knob,lipstick,40.0,60.0,door knob15,lipstick10,60.0,60.0,Legacy_oval.jpg,21K0D7QKFAL._SS500_.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/Legacy_oval.jpg,/static/Category_learning/Stimuli/Experimental_stims/lipstick/21K0D7QKFAL._SS500_.jpg,1.0,door knob,lipstick,40.0,60.0,door knob15,lipstick10,60.0,60.0,0.0,28.5,0.857,
57,,confirmation,,html-keyboard-response,57,104742,0.0-1.0-12.0-0.0-1.0-0.0,0,0,77,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.357,0.643,
58,,isi,,html-keyboard-response,58,106747,0.0-1.0-12.0-0.0-2.0,0,0,77,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,2.0,
59,,feedback,,html-keyboard-response,59,107751,0.0-1.0-12.0-0.0-3.0-0.0,0,0,77,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,1.0,
60,,iti,,html-keyboard-response,60,109258,0.0-1.0-12.0-0.0-5.0,0,0,77,,,,,,10.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.5,
61,,choice,,html-keyboard-response,61,109343,0.0-1.0-13.0-0.0-0.0,0,0,77,,80.0,,,50.0,11.0,11.0,3500.0,1000.0,0.0,1.0,0.0,40-40,,,bongo,flashlight,40.0,40.0,bongo3,flashlight5,60.0,60.0,26390697.thl.jpg,Streamlight-71001-Jr-Flashlight-W-batteries-black-B00018A3CG-L.jpg,/static/Category_learning/Stimuli/Experimental_stims/bongo/26390697.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/flashlight/Streamlight-71001-Jr-Flashlight-W-batteries-black-B00018A3CG-L.jpg,1.0,bongo,flashlight,40.0,40.0,bongo3,flashlight5,60.0,60.0,0.0,34.5,0.08,
62,,confirmation,,html-keyboard-response,62,110769,0.0-1.0-13.0-0.0-1.0-0.0,0,0,77,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58,1.42,
63,,isi,,html-keyboard-response,63,114274,0.0-1.0-13.0-0.0-2.0,0,0,77,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,3.5,
64,,feedback,,html-keyboard-response,64,115283,0.0-1.0-13.0-0.0-3.0-0.0,0,0,77,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5,1.0,
65,,iti,,html-keyboard-response,65,116290,0.0-1.0-13.0-0.0-5.0,0,0,77,,,,,,11.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5,1.0,
66,,choice,,html-keyboard-response,66,117798,0.0-1.0-14.0-0.0-0.0,0,0,77,,,,,,12.0,12.0,1500.0,1000.0,0.0,1.0,1.0,60-80,0.0,,seashell,makeup compact,80.0,60.0,seashell3,makeup compact4,80.0,40.0,coquillage.jpg,262668_fpx.jpg,/static/Category_learning/Stimuli/Experimental_stims/seashell/coquillage.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/262668_fpx.jpg,,,,,,,,,,1.0,41.5,1.5,
67,,isi,,html-keyboard-response,67,119302,0.0-1.0-14.0-0.0-2.0,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,1.5,
68,,no_response,,html-keyboard-response,68,120310,0.0-1.0-14.0-0.0-4.0-0.0,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,1.0,
69,,iti,,html-keyboard-response,69,121337,0.0-1.0-14.0-0.0-5.0,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,1.0,
70,,choice,,html-keyboard-response,70,122296,0.0-1.0-14.0-0.1-0.1,0,0,77,,954.0,,,50.0,12.0,12.0,1500.0,1000.0,0.0,1.0,1.0,60-80,0.0,,seashell,makeup compact,80.0,60.0,seashell3,makeup compact4,80.0,40.0,coquillage.jpg,262668_fpx.jpg,/static/Category_learning/Stimuli/Experimental_stims/seashell/coquillage.jpg,/static/Category_learning/Stimuli/Experimental_stims/makeup compact/262668_fpx.jpg,1.0,seashell,makeup compact,80.0,60.0,seashell3,makeup compact4,80.0,40.0,0.0,46.5,0.954,
71,,confirmation,,html-keyboard-response,71,122846,0.0-1.0-14.0-0.1-1.1-0.1,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,47.454,0.546,
72,,isi,,html-keyboard-response,72,123853,0.0-1.0-14.0-0.1-2.1,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,1.0,
73,,feedback,,html-keyboard-response,73,124861,0.0-1.0-14.0-0.1-3.1-0.1,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,1.0,
74,,iti,,html-keyboard-response,74,126367,0.0-1.0-14.0-0.1-5.1,0,0,77,,,,,,12.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,1.5,
75,,choice,,html-keyboard-response,75,127875,0.0-1.0-15.0-0.0-0.0,0,0,77,,,,,,13.0,13.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,desk,hammer,40.0,60.0,desk8,hammer2,60.0,40.0,26370118.thl.jpg,hammer04.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/26370118.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/hammer/hammer04.jpg,,,,,,,,,,1.0,51.5,1.5,
76,,isi,,html-keyboard-response,76,129883,0.0-1.0-15.0-0.0-2.0,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,2.0,
77,,no_response,,html-keyboard-response,77,130892,0.0-1.0-15.0-0.0-4.0-0.0,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1.0,
78,,iti,,html-keyboard-response,78,131916,0.0-1.0-15.0-0.0-5.0,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,1.0,
79,,choice,,html-keyboard-response,79,133426,0.0-1.0-15.0-0.1-0.1,0,0,77,,,,,,13.0,13.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,desk,hammer,40.0,60.0,desk8,hammer2,60.0,40.0,26370118.thl.jpg,hammer04.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/26370118.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/hammer/hammer04.jpg,,,,,,,,,,1.0,57.0,1.5,
80,,isi,,html-keyboard-response,80,136434,0.0-1.0-15.0-0.1-2.1,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5,3.0,
81,,no_response,,html-keyboard-response,81,137439,0.0-1.0-15.0-0.1-4.1-0.1,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,61.5,1.0,
82,,iti,,html-keyboard-response,82,138962,0.0-1.0-15.0-0.1-5.1,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,1.5,
83,,choice,,html-keyboard-response,83,139320,0.0-1.0-15.0-0.2-0.2,0,0,77,,354.0,,,50.0,13.0,13.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,desk,hammer,40.0,60.0,desk8,hammer2,60.0,40.0,26370118.thl.jpg,hammer04.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/26370118.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/hammer/hammer04.jpg,1.0,desk,hammer,40.0,60.0,desk8,hammer2,60.0,40.0,0.0,64.0,0.354,
84,,confirmation,,html-keyboard-response,84,140470,0.0-1.0-15.0-0.2-1.2-0.2,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,64.354,1.146,
85,,isi,,html-keyboard-response,85,142477,0.0-1.0-15.0-0.2-2.2,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,2.0,
86,,feedback,,html-keyboard-response,86,143484,0.0-1.0-15.0-0.2-3.2-0.2,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5,1.0,
87,,iti,,html-keyboard-response,87,144989,0.0-1.0-15.0-0.2-5.2,0,0,77,,,,,,13.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5,1.5,
88,,choice,,html-keyboard-response,88,145393,0.0-1.0-16.0-0.0-0.0,0,0,77,,400.0,,,50.0,14.0,14.0,2000.0,2000.0,0.0,1.0,0.0,60-60,,,license plate,hammer,60.0,60.0,license plate2,hammer5,60.0,60.0,ny-u93-8zs.jpg,hammer02.jpg,/static/Category_learning/Stimuli/Experimental_stims/license plate/ny-u93-8zs.jpg,/static/Category_learning/Stimuli/Experimental_stims/hammer/hammer02.jpg,1.0,license plate,hammer,60.0,60.0,license plate2,hammer5,60.0,60.0,0.0,70.0,0.4,
89,,confirmation,,html-keyboard-response,89,146497,0.0-1.0-16.0-0.0-1.0-0.0,0,0,77,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,1.1,
90,,isi,,html-keyboard-response,90,148502,0.0-1.0-16.0-0.0-2.0,0,0,77,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,71.5,2.0,
91,,feedback,,html-keyboard-response,91,149508,0.0-1.0-16.0-0.0-3.0-0.0,0,0,77,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,73.5,1.0,
92,,iti,,html-keyboard-response,92,151517,0.0-1.0-16.0-0.0-5.0,0,0,77,,,,,,14.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,74.5,2.0,
93,,choice,,html-keyboard-response,93,151997,0.0-1.0-17.0-0.0-0.0,0,0,77,,475.0,,,50.0,15.0,15.0,1500.0,2000.0,0.0,1.0,0.0,20-20,,,train,tape,20.0,20.0,train9,tape13,20.0,20.0,train2.jpg,920152.jpg,/static/Category_learning/Stimuli/Experimental_stims/train/train2.jpg,/static/Category_learning/Stimuli/Experimental_stims/tape/920152.jpg,1.0,train,tape,20.0,20.0,train9,tape13,20.0,20.0,0.0,76.5,0.475,
94,,confirmation,,html-keyboard-response,94,153027,0.0-1.0-17.0-0.0-1.0-0.0,0,0,77,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,76.975,1.025,
95,,isi,,html-keyboard-response,95,154534,0.0-1.0-17.0-0.0-2.0,0,0,77,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,1.5,
96,,feedback,,html-keyboard-response,96,155542,0.0-1.0-17.0-0.0-3.0-0.0,0,0,77,,,,,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,1.0,
