trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
26,1,M-L,6000,1,L,M,3,2,1,mailbox,basketball,mailbox7,basketball1,46,50,mailbox7.jpg,basketball9.jpg,Stimuli/Size_stims/L/mailbox/mailbox7.jpg,Stimuli/Size_stims/M/basketball/basketball9.jpg
27,1,S-XL,1500,0,S,XL,1,4,-3,teabag,dumptruck,teabag8,dumptruck8,137,177,teabag7.jpg,dumptruck7.jpg,Stimuli/Size_stims/S/teabag/teabag7.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck7.jpg
28,1,M-XL,2000,1,XL,M,4,2,2,dumptruck,ketchup,dumptruck4,ketchup2,173,91,dumptruck1.jpg,ketchup9.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg,Stimuli/Size_stims/M/ketchup/ketchup9.jpg
29,1,M-L,500,0,M,L,2,3,-1,coffeemaker,garbagecan,coffeemaker5,garbagecan4,64,33,coffeemaker10.jpg,garbagecan6.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg
30,1,L-XL,1000,0,L,XL,3,4,-1,dishwasher,van,dishwasher2,van9,21,198,dishwasher9.jpg,van9.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher9.jpg,Stimuli/Size_stims/XL/van/van9.jpg
31,1,M-M,1000,NA,M,M,2,2,0,ketchup,hairdryer,ketchup3,hairdryer2,92,71,ketchup10.jpg,hairdryer12.jpg,Stimuli/Size_stims/M/ketchup/ketchup10.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer12.jpg
32,1,S-L,500,0,S,L,1,3,-2,screws,garbagecan,screws10,garbagecan2,129,31,screws9.jpg,garbagecan5.jpg,Stimuli/Size_stims/S/screws/screws9.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan5.jpg
33,1,S-M,500,0,S,M,1,2,-1,teabag,coffeemaker,teabag9,coffeemaker8,138,67,teabag5.jpg,coffeemaker5.jpg,Stimuli/Size_stims/S/teabag/teabag5.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker5.jpg
34,1,S-L,5000,0,S,L,1,3,-2,die,mailbox,die5,mailbox2,104,41,die3.jpg,mailbox2.jpg,Stimuli/Size_stims/S/die/die3.jpg,Stimuli/Size_stims/L/mailbox/mailbox2.jpg
35,1,S-XL,2500,1,XL,S,4,1,3,crane,thread,crane9,thread5,168,144,crane8.jpg,thread1.jpg,Stimuli/Size_stims/XL/crane/crane8.jpg,Stimuli/Size_stims/S/thread/thread1.jpg
36,1,S-L,500,1,L,S,3,1,2,dishwasher,teabag,dishwasher9,teabag7,28,136,dishwasher2.jpg,teabag10.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher2.jpg,Stimuli/Size_stims/S/teabag/teabag10.jpg
37,1,M-XL,1000,0,M,XL,2,4,-2,ketchup,van,ketchup1,van2,90,191,ketchup8.jpg,van4.jpg,Stimuli/Size_stims/M/ketchup/ketchup8.jpg,Stimuli/Size_stims/XL/van/van4.jpg
38,1,M-L,4000,0,M,L,2,3,-1,coffeemaker,dishwasher,coffeemaker1,dishwasher7,60,26,coffeemaker14.jpg,dishwasher7.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker14.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher7.jpg
39,1,S-XL,1500,0,S,XL,1,4,-3,paperclip,crane,paperclip10,crane1,119,160,paperclip10.jpg,crane7.jpg,Stimuli/Size_stims/S/paperclip/paperclip10.jpg,Stimuli/Size_stims/XL/crane/crane7.jpg
40,1,S-XL,1500,0,S,XL,1,4,-3,screws,crane,screws6,crane6,125,165,screws3.jpg,crane2.jpg,Stimuli/Size_stims/S/screws/screws3.jpg,Stimuli/Size_stims/XL/crane/crane2.jpg
41,1,S-L,2000,1,L,S,3,1,2,garbagecan,teabag,garbagecan6,teabag10,35,139,garbagecan14.jpg,teabag4.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan14.jpg,Stimuli/Size_stims/S/teabag/teabag4.jpg
42,1,XL-XL,1000,NA,XL,XL,4,4,0,tractor,dumptruck,tractor5,dumptruck3,184,172,tractor1.jpg,dumptruck10.jpg,Stimuli/Size_stims/XL/tractor/tractor1.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck10.jpg
43,1,M-XL,2500,1,XL,M,4,2,2,car,ketchup,car2,ketchup5,151,94,car3.jpg,ketchup3.jpg,Stimuli/Size_stims/XL/car/car3.jpg,Stimuli/Size_stims/M/ketchup/ketchup3.jpg
44,1,L-L,1000,NA,L,L,3,3,0,mailbox,cooler,mailbox1,cooler2,40,1,mailbox3.jpg,cooler9.jpg,Stimuli/Size_stims/L/mailbox/mailbox3.jpg,Stimuli/Size_stims/L/cooler/cooler9.jpg
45,1,M-XL,500,0,M,XL,2,4,-2,handsaw,car,handsaw5,car10,84,159,handsaw1.jpg,car9.jpg,Stimuli/Size_stims/M/handsaw/handsaw1.jpg,Stimuli/Size_stims/XL/car/car9.jpg
46,1,M-L,1000,0,M,L,2,3,-1,handsaw,mailbox,handsaw8,mailbox4,87,43,handsaw7.jpg,mailbox5.jpg,Stimuli/Size_stims/M/handsaw/handsaw7.jpg,Stimuli/Size_stims/L/mailbox/mailbox5.jpg
47,1,XL-XL,500,NA,XL,XL,4,4,0,tractor,van,tractor9,van6,188,195,tractor9.jpg,van2.jpg,Stimuli/Size_stims/XL/tractor/tractor9.jpg,Stimuli/Size_stims/XL/van/van2.jpg
48,1,S-S,2000,NA,S,S,1,1,0,teabag,screws,teabag4,screws4,133,123,teabag3.jpg,screws6.jpg,Stimuli/Size_stims/S/teabag/teabag3.jpg,Stimuli/Size_stims/S/screws/screws6.jpg
49,1,L-XL,1000,1,XL,L,4,3,1,car,deskchair,car9,deskchair4,158,13,car15.jpg,deskchair6.jpg,Stimuli/Size_stims/XL/car/car15.jpg,Stimuli/Size_stims/L/deskchair/deskchair6.jpg
50,1,L-L,2000,NA,L,L,3,3,0,dishwasher,cooler,dishwasher10,cooler6,29,5,dishwasher1.jpg,cooler1.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher1.jpg,Stimuli/Size_stims/L/cooler/cooler1.jpg
51,1,M-XL,500,0,M,XL,2,4,-2,coffeemaker,tractor,coffeemaker6,tractor3,65,182,coffeemaker8.jpg,tractor5.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker8.jpg,Stimuli/Size_stims/XL/tractor/tractor5.jpg
52,1,M-M,500,NA,M,M,2,2,0,coffeemaker,hairdryer,coffeemaker7,hairdryer5,66,74,coffeemaker9.jpg,hairdryer15.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg
53,1,M-M,500,NA,M,M,2,2,0,handsaw,ketchup,handsaw10,ketchup8,89,97,handsaw10.jpg,ketchup5.jpg,Stimuli/Size_stims/M/handsaw/handsaw10.jpg,Stimuli/Size_stims/M/ketchup/ketchup5.jpg
54,1,S-M,500,0,S,M,1,2,-1,paperclip,basketball,paperclip7,basketball8,116,57,paperclip7.jpg,basketball7.jpg,Stimuli/Size_stims/S/paperclip/paperclip7.jpg,Stimuli/Size_stims/M/basketball/basketball7.jpg
55,1,S-XL,1000,1,XL,S,4,1,3,van,screws,van5,screws1,194,120,van3.jpg,screws4.jpg,Stimuli/Size_stims/XL/van/van3.jpg,Stimuli/Size_stims/S/screws/screws4.jpg
56,1,M-L,500,0,M,L,2,3,-1,coffeemaker,cooler,coffeemaker4,cooler10,63,9,coffeemaker11.jpg,cooler6.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker11.jpg,Stimuli/Size_stims/L/cooler/cooler6.jpg
57,1,S-L,4500,1,L,S,3,1,2,garbagecan,die,garbagecan8,die7,37,106,garbagecan13.jpg,die4.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan13.jpg,Stimuli/Size_stims/S/die/die4.jpg
58,1,S-L,1500,0,S,L,1,3,-2,die,deskchair,die3,deskchair6,102,15,die10.jpg,deskchair5.jpg,Stimuli/Size_stims/S/die/die10.jpg,Stimuli/Size_stims/L/deskchair/deskchair5.jpg
59,1,S-M,5000,0,S,M,1,2,-1,teabag,hairdryer,teabag6,hairdryer1,135,70,teabag6.jpg,hairdryer11.jpg,Stimuli/Size_stims/S/teabag/teabag6.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer11.jpg
60,1,M-XL,500,1,XL,M,4,2,2,dumptruck,hairdryer,dumptruck5,hairdryer4,174,73,dumptruck3.jpg,hairdryer16.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck3.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer16.jpg
61,1,S-XL,1500,1,XL,S,4,1,3,van,thread,van1,thread9,190,148,van5.jpg,thread8.jpg,Stimuli/Size_stims/XL/van/van5.jpg,Stimuli/Size_stims/S/thread/thread8.jpg
62,1,L-XL,2000,0,L,XL,3,4,-1,mailbox,tractor,mailbox6,tractor2,45,181,mailbox6.jpg,tractor7.jpg,Stimuli/Size_stims/L/mailbox/mailbox6.jpg,Stimuli/Size_stims/XL/tractor/tractor7.jpg
63,1,M-XL,1500,0,M,XL,2,4,-2,handsaw,car,handsaw7,car3,86,152,handsaw5.jpg,car4.jpg,Stimuli/Size_stims/M/handsaw/handsaw5.jpg,Stimuli/Size_stims/XL/car/car4.jpg
64,1,S-S,3000,NA,S,S,1,1,0,screws,die,screws7,die4,126,103,screws1.jpg,die2.jpg,Stimuli/Size_stims/S/screws/screws1.jpg,Stimuli/Size_stims/S/die/die2.jpg
65,1,M-XL,1000,0,M,XL,2,4,-2,handsaw,tractor,handsaw1,tractor4,80,183,handsaw8.jpg,tractor4.jpg,Stimuli/Size_stims/M/handsaw/handsaw8.jpg,Stimuli/Size_stims/XL/tractor/tractor4.jpg
66,1,M-L,5000,0,M,L,2,3,-1,basketball,deskchair,basketball4,deskchair9,53,18,basketball1.jpg,deskchair3.jpg,Stimuli/Size_stims/M/basketball/basketball1.jpg,Stimuli/Size_stims/L/deskchair/deskchair3.jpg
67,1,S-S,1500,NA,S,S,1,1,0,paperclip,die,paperclip9,die1,118,100,paperclip4.jpg,die8.jpg,Stimuli/Size_stims/S/paperclip/paperclip4.jpg,Stimuli/Size_stims/S/die/die8.jpg
68,1,S-M,5500,0,S,M,1,2,-1,thread,basketball,thread1,basketball2,140,51,thread7.jpg,basketball8.jpg,Stimuli/Size_stims/S/thread/thread7.jpg,Stimuli/Size_stims/M/basketball/basketball8.jpg
69,1,S-XL,4500,1,XL,S,4,1,3,dumptruck,screws,dumptruck6,screws8,175,127,dumptruck2.jpg,screws10.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck2.jpg,Stimuli/Size_stims/S/screws/screws10.jpg
70,1,S-S,1500,NA,S,S,1,1,0,paperclip,teabag,paperclip8,teabag2,117,131,paperclip5.jpg,teabag8.jpg,Stimuli/Size_stims/S/paperclip/paperclip5.jpg,Stimuli/Size_stims/S/teabag/teabag8.jpg
71,1,XL-XL,2000,NA,XL,XL,4,4,0,tractor,van,tractor1,van10,180,199,tractor6.jpg,van8.jpg,Stimuli/Size_stims/XL/tractor/tractor6.jpg,Stimuli/Size_stims/XL/van/van8.jpg
72,1,S-XL,2000,1,XL,S,4,1,3,crane,thread,crane3,thread4,162,143,crane4.jpg,thread5.jpg,Stimuli/Size_stims/XL/crane/crane4.jpg,Stimuli/Size_stims/S/thread/thread5.jpg
73,1,S-XL,1500,0,S,XL,1,4,-3,teabag,crane,teabag5,crane7,134,166,teabag2.jpg,crane3.jpg,Stimuli/Size_stims/S/teabag/teabag2.jpg,Stimuli/Size_stims/XL/crane/crane3.jpg
74,1,L-L,4500,NA,L,L,3,3,0,dishwasher,garbagecan,dishwasher5,garbagecan5,24,34,dishwasher4.jpg,garbagecan3.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher4.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan3.jpg
75,1,M-L,500,1,L,M,3,2,1,cooler,ketchup,cooler5,ketchup10,4,99,cooler10.jpg,ketchup6.jpg,Stimuli/Size_stims/L/cooler/cooler10.jpg,Stimuli/Size_stims/M/ketchup/ketchup6.jpg
76,1,S-XL,1000,1,XL,S,4,1,3,tractor,die,tractor7,die9,186,108,tractor2.jpg,die7.jpg,Stimuli/Size_stims/XL/tractor/tractor2.jpg,Stimuli/Size_stims/S/die/die7.jpg
77,1,S-L,1000,1,L,S,3,1,2,deskchair,thread,deskchair3,thread10,12,149,deskchair10.jpg,thread9.jpg,Stimuli/Size_stims/L/deskchair/deskchair10.jpg,Stimuli/Size_stims/S/thread/thread9.jpg
78,1,M-L,1000,1,L,M,3,2,1,dishwasher,basketball,dishwasher6,basketball10,25,59,dishwasher6.jpg,basketball4.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher6.jpg,Stimuli/Size_stims/M/basketball/basketball4.jpg
79,1,M-L,3500,0,M,L,2,3,-1,basketball,deskchair,basketball9,deskchair2,58,11,basketball5.jpg,deskchair8.jpg,Stimuli/Size_stims/M/basketball/basketball5.jpg,Stimuli/Size_stims/L/deskchair/deskchair8.jpg
80,1,S-XL,3000,0,S,XL,1,4,-3,paperclip,car,paperclip4,car1,113,150,paperclip3.jpg,car2.jpg,Stimuli/Size_stims/S/paperclip/paperclip3.jpg,Stimuli/Size_stims/XL/car/car2.jpg
81,1,S-XL,3000,0,S,XL,1,4,-3,paperclip,crane,paperclip3,crane2,112,161,paperclip1.jpg,crane6.jpg,Stimuli/Size_stims/S/paperclip/paperclip1.jpg,Stimuli/Size_stims/XL/crane/crane6.jpg
82,1,L-XL,6000,1,XL,L,4,3,1,car,deskchair,car7,deskchair8,156,17,car13.jpg,deskchair1.jpg,Stimuli/Size_stims/XL/car/car13.jpg,Stimuli/Size_stims/L/deskchair/deskchair1.jpg
83,1,S-M,1500,0,S,M,1,2,-1,screws,handsaw,screws3,handsaw3,122,82,screws7.jpg,handsaw2.jpg,Stimuli/Size_stims/S/screws/screws7.jpg,Stimuli/Size_stims/M/handsaw/handsaw2.jpg
84,1,M-L,4000,0,M,L,2,3,-1,basketball,dishwasher,basketball6,dishwasher1,55,20,basketball2.jpg,dishwasher10.jpg,Stimuli/Size_stims/M/basketball/basketball2.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher10.jpg
85,1,S-L,1000,0,S,L,1,3,-2,die,dishwasher,die8,dishwasher3,107,22,die5.jpg,dishwasher8.jpg,Stimuli/Size_stims/S/die/die5.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher8.jpg
86,1,S-XL,1000,1,XL,S,4,1,3,dumptruck,teabag,dumptruck9,teabag3,178,132,dumptruck5.jpg,teabag1.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck5.jpg,Stimuli/Size_stims/S/teabag/teabag1.jpg
87,1,S-L,500,1,L,S,3,1,2,deskchair,thread,deskchair5,thread6,14,145,deskchair7.jpg,thread2.jpg,Stimuli/Size_stims/L/deskchair/deskchair7.jpg,Stimuli/Size_stims/S/thread/thread2.jpg
88,1,M-L,1000,0,M,L,2,3,-1,hairdryer,garbagecan,hairdryer6,garbagecan3,75,32,hairdryer8.jpg,garbagecan7.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan7.jpg
89,1,S-L,1500,1,L,S,3,1,2,mailbox,thread,mailbox8,thread8,47,147,mailbox10.jpg,thread10.jpg,Stimuli/Size_stims/L/mailbox/mailbox10.jpg,Stimuli/Size_stims/S/thread/thread10.jpg
