"trial_num","block","pair_type","iti","isi","high_size_on_left","left_size_group","right_size_group","left_size_num","right_size_num","delta_size","left_category","right_category","left_exemplar","right_exemplar","left_index","right_index","left_img","right_img","left_img_path","right_img_path"
78,1,"S-XL",1000,1500,1,"XL","S",4,1,3,"dumptruck","die","dumptruck4","die2",173,101,"dumptruck1.jpg","die9.jpg","Stimuli/Size_stims/XL/dumptruck/dumptruck1.jpg","Stimuli/Size_stims/S/die/die9.jpg"
79,1,"L-L",3500,1000,NA,"L","L",3,3,0,"deskchair","garbagecan","deskchair9","garbagecan4",18,33,"deskchair3.jpg","garbagecan6.jpg","Stimuli/Size_stims/L/deskchair/deskchair3.jpg","Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg"
80,1,"XL-XL",1000,1500,NA,"XL","XL",4,4,0,"car","tractor","car5","tractor4",154,183,"car11.jpg","tractor4.jpg","Stimuli/Size_stims/XL/car/car11.jpg","Stimuli/Size_stims/XL/tractor/tractor4.jpg"
81,1,"M-XL",1000,1000,1,"XL","M",4,2,2,"tractor","hairdryer","tractor7","hairdryer6",186,75,"tractor2.jpg","hairdryer8.jpg","Stimuli/Size_stims/XL/tractor/tractor2.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer8.jpg"
82,1,"S-L",1500,1500,0,"S","L",1,3,-2,"screws","dishwasher","screws1","dishwasher8",120,27,"screws4.jpg","dishwasher3.jpg","Stimuli/Size_stims/S/screws/screws4.jpg","Stimuli/Size_stims/L/dishwasher/dishwasher3.jpg"
83,1,"S-XL",1000,1500,1,"XL","S",4,1,3,"tractor","thread","tractor9","thread1",188,140,"tractor9.jpg","thread7.jpg","Stimuli/Size_stims/XL/tractor/tractor9.jpg","Stimuli/Size_stims/S/thread/thread7.jpg"
84,1,"S-XL",2000,1500,0,"S","XL",1,4,-3,"die","van","die7","van6",106,195,"die4.jpg","van2.jpg","Stimuli/Size_stims/S/die/die4.jpg","Stimuli/Size_stims/XL/van/van2.jpg"
85,1,"M-M",2000,1000,NA,"M","M",2,2,0,"basketball","hairdryer","basketball10","hairdryer5",59,74,"basketball4.jpg","hairdryer15.jpg","Stimuli/Size_stims/M/basketball/basketball4.jpg","Stimuli/Size_stims/M/hairdryer/hairdryer15.jpg"
86,1,"XL-XL",1000,1000,NA,"XL","XL",4,4,0,"van","car","van5","car2",194,151,"van3.jpg","car3.jpg","Stimuli/Size_stims/XL/van/van3.jpg","Stimuli/Size_stims/XL/car/car3.jpg"
87,1,"M-XL",2000,1500,0,"M","XL",2,4,-2,"coffeemaker","tractor","coffeemaker5","tractor3",64,182,"coffeemaker10.jpg","tractor5.jpg","Stimuli/Size_stims/M/coffeemaker/coffeemaker10.jpg","Stimuli/Size_stims/XL/tractor/tractor5.jpg"
88,1,"S-M",1000,1000,0,"S","M",1,2,-1,"teabag","ketchup","teabag5","ketchup10",134,99,"teabag2.jpg","ketchup6.jpg","Stimuli/Size_stims/S/teabag/teabag2.jpg","Stimuli/Size_stims/M/ketchup/ketchup6.jpg"
89,1,"S-S",3000,1500,NA,"S","S",1,1,0,"paperclip","teabag","paperclip6","teabag2",115,131,"paperclip6.jpg","teabag8.jpg","Stimuli/Size_stims/S/paperclip/paperclip6.jpg","Stimuli/Size_stims/S/teabag/teabag8.jpg"
