trial_num,block,pair_type,iti,high_size_on_left,left_size_group,right_size_group,left_size_num,right_size_num,delta_size,left_category,right_category,left_exemplar,right_exemplar,left_index,right_index,left_img,right_img,left_img_path,right_img_path
38,1,M-L,2500,0,M,L,2,3,-1,coffeemaker,mailbox,coffeemaker7,mailbox7,66,46,coffeemaker9.jpg,mailbox7.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker9.jpg,Stimuli/Size_stims/L/mailbox/mailbox7.jpg
39,1,L-L,500,NA,L,L,3,3,0,deskchair,mailbox,deskchair2,mailbox5,11,44,deskchair8.jpg,mailbox4.jpg,Stimuli/Size_stims/L/deskchair/deskchair8.jpg,Stimuli/Size_stims/L/mailbox/mailbox4.jpg
40,1,M-XL,500,1,XL,M,4,2,2,dumptruck,coffeemaker,dumptruck10,coffeemaker10,179,69,dumptruck4.jpg,coffeemaker18.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck4.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker18.jpg
41,1,M-M,500,NA,M,M,2,2,0,hairdryer,handsaw,hairdryer10,handsaw2,79,81,hairdryer6.jpg,handsaw9.jpg,Stimuli/Size_stims/M/hairdryer/hairdryer6.jpg,Stimuli/Size_stims/M/handsaw/handsaw9.jpg
42,1,L-L,5500,NA,L,L,3,3,0,mailbox,garbagecan,mailbox8,garbagecan4,47,33,mailbox10.jpg,garbagecan6.jpg,Stimuli/Size_stims/L/mailbox/mailbox10.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan6.jpg
43,1,M-L,2000,1,L,M,3,2,1,mailbox,ketchup,mailbox6,ketchup4,45,93,mailbox6.jpg,ketchup2.jpg,Stimuli/Size_stims/L/mailbox/mailbox6.jpg,Stimuli/Size_stims/M/ketchup/ketchup2.jpg
44,1,S-XL,500,0,S,XL,1,4,-3,thread,dumptruck,thread7,dumptruck1,146,170,thread3.jpg,dumptruck9.jpg,Stimuli/Size_stims/S/thread/thread3.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck9.jpg
45,1,S-XL,3000,0,S,XL,1,4,-3,paperclip,dumptruck,paperclip8,dumptruck7,117,176,paperclip5.jpg,dumptruck6.jpg,Stimuli/Size_stims/S/paperclip/paperclip5.jpg,Stimuli/Size_stims/XL/dumptruck/dumptruck6.jpg
46,1,M-L,2500,0,M,L,2,3,-1,coffeemaker,deskchair,coffeemaker4,deskchair5,63,14,coffeemaker11.jpg,deskchair7.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker11.jpg,Stimuli/Size_stims/L/deskchair/deskchair7.jpg
47,1,L-XL,500,0,L,XL,3,4,-1,garbagecan,car,garbagecan10,car6,39,155,garbagecan11.jpg,car12.jpg,Stimuli/Size_stims/L/garbagecan/garbagecan11.jpg,Stimuli/Size_stims/XL/car/car12.jpg
48,1,S-L,500,0,S,L,1,3,-2,screws,dishwasher,screws4,dishwasher2,123,21,screws6.jpg,dishwasher9.jpg,Stimuli/Size_stims/S/screws/screws6.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher9.jpg
49,1,M-L,1000,0,M,L,2,3,-1,handsaw,cooler,handsaw8,cooler7,87,6,handsaw7.jpg,cooler4.jpg,Stimuli/Size_stims/M/handsaw/handsaw7.jpg,Stimuli/Size_stims/L/cooler/cooler4.jpg
50,1,M-L,500,1,L,M,3,2,1,dishwasher,ketchup,dishwasher5,ketchup2,24,91,dishwasher4.jpg,ketchup9.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher4.jpg,Stimuli/Size_stims/M/ketchup/ketchup9.jpg
51,1,M-L,500,0,M,L,2,3,-1,coffeemaker,dishwasher,coffeemaker6,dishwasher4,65,23,coffeemaker8.jpg,dishwasher5.jpg,Stimuli/Size_stims/M/coffeemaker/coffeemaker8.jpg,Stimuli/Size_stims/L/dishwasher/dishwasher5.jpg
52,1,S-XL,3500,1,XL,S,4,1,3,car,die,car1,die9,150,108,car2.jpg,die7.jpg,Stimuli/Size_stims/XL/car/car2.jpg,Stimuli/Size_stims/S/die/die7.jpg
53,1,M-L,5000,1,L,M,3,2,1,mailbox,ketchup,mailbox2,ketchup6,41,95,mailbox2.jpg,ketchup1.jpg,Stimuli/Size_stims/L/mailbox/mailbox2.jpg,Stimuli/Size_stims/M/ketchup/ketchup1.jpg
