"trial_num","is_practice","block","condition","iti","isi","high_group_on_left","left_group_value","right_group_value","left_item_value","right_item_value","delta_item_value","left_img","right_img","left_img_path","right_img_path"
69,0,2,"easy",3000,1500,1,80,20,60,20,40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
70,0,2,"easy",3000,1000,0,20,80,40,60,-20,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
71,0,2,"easy",2000,3500,1,80,20,100,40,60,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
72,0,2,"easy",2000,1000,1,80,20,60,20,40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
73,0,2,"easy",1500,2000,1,80,20,100,20,80,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
74,0,2,"hard",2000,1500,0,40,60,60,60,0,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
75,0,2,"hard",2000,1000,1,60,40,80,40,40,"C","D","Stimuli/Fractals_stims/C.jpg","Stimuli/Fractals_stims/D.jpg"
76,0,2,"easy",1000,1000,0,20,80,40,100,-60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
77,0,2,"easy",1000,1000,0,20,80,20,80,-60,"B","A","Stimuli/Fractals_stims/B.jpg","Stimuli/Fractals_stims/A.jpg"
78,0,2,"hard",1500,2000,0,40,60,20,40,-20,"D","C","Stimuli/Fractals_stims/D.jpg","Stimuli/Fractals_stims/C.jpg"
79,0,2,"easy",1000,1500,1,80,20,60,20,40,"A","B","Stimuli/Fractals_stims/A.jpg","Stimuli/Fractals_stims/B.jpg"
