,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally,category,category_group_value,category_value_response
197,,choice,,html-keyboard-response,197,207398,0.0-1.0-13.0-0.18-0.18,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,168.0,1.5,,,,,
198,,isi,,html-keyboard-response,198,208705,0.0-1.0-13.0-0.18-2.18,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.0,3.0,,,,,
199,,no_response,,html-keyboard-response,199,210271,0.0-1.0-13.0-0.18-4.18-0.18,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0,1.0,,,,,
200,,iti,,html-keyboard-response,200,211597,0.0-1.0-13.0-0.18-5.18,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.0,1.0,,,,,
201,,choice,,html-keyboard-response,201,214104,0.0-1.0-13.0-0.19-0.19,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,174.5,1.5,,,,,
202,,isi,,html-keyboard-response,202,214353,0.0-1.0-13.0-0.19-2.19,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,1.5,,,,,
203,,no_response,,html-keyboard-response,203,216538,0.0-1.0-13.0-0.19-4.19-0.19,1,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.0,1.0,,,,,
204,,iti,,html-keyboard-response,204,217629,0.0-1.0-13.0-0.19-5.19,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,2.0,,,,,
205,,choice,,html-keyboard-response,205,219620,0.0-1.0-13.0-0.20-0.20,0,0,96878,,,,,,11.0,311.0,2000.0,1000.0,0.0,6.0,0.0,20-60,,1.0,desk,small table,60.0,20.0,desk11,small table1,60.0,0.0,Writing_Desk_280_Cutout_Sideview_half.jpg,ATABLE10.jpg,/static/Category_learning/Stimuli/Experimental_stims/desk/Writing_Desk_280_Cutout_Sideview_half.jpg,/static/Category_learning/Stimuli/Experimental_stims/small table/ATABLE10.jpg,,,,,,,,,,1.0,180.5,1.5,,,,,
206,,isi,,html-keyboard-response,206,220299,0.0-1.0-13.0-0.20-2.20,0,0,96878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.5,2.0,,,,,
