,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice
36,,choice,,html-keyboard-response,36,49204,0.0-1.0-8.0-0.0-0.0,0,0,3,,,,,,6.0,6.0,3000.0,1500.0,0.0,1.0,0.0,40-60,,0.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,22865676.thl.jpg,Red Canyon Tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22865676.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,,,,,,,,,,1.0,8.0,1.5,
37,,isi,,html-keyboard-response,37,49308,0.0-1.0-8.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,
38,,no_response,,html-keyboard-response,38,50315,0.0-1.0-8.0-0.0-4.0-0.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.0,
39,,iti,,html-keyboard-response,39,50441,0.0-1.0-8.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,1.5,
40,,choice,,html-keyboard-response,40,51951,0.0-1.0-8.0-0.1-0.1,0,0,3,,,,,,6.0,6.0,3000.0,1500.0,0.0,1.0,0.0,40-60,,0.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,22865676.thl.jpg,Red Canyon Tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22865676.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,,,,,,,,,,1.0,15.0,1.5,
41,,isi,,html-keyboard-response,41,52054,0.0-1.0-8.0-0.1-2.1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,1.5,
42,,no_response,,html-keyboard-response,42,53059,0.0-1.0-8.0-0.1-4.1-0.1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,1.0,
43,,iti,,html-keyboard-response,43,53199,0.0-1.0-8.0-0.1-5.1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,3.5,
44,,choice,,html-keyboard-response,44,53454,0.0-1.0-8.0-0.2-0.2,0,0,3,,251.0,,,50.0,6.0,6.0,3000.0,1500.0,0.0,1.0,0.0,40-60,,0.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,22865676.thl.jpg,Red Canyon Tent.jpg,/static/Category_learning/Stimuli/Experimental_stims/poker card/22865676.thl.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/Red Canyon Tent.jpg,1.0,poker card,tent,40.0,60.0,poker card12,tent9,20.0,60.0,0.0,21.251,0.251,
45,,confirmation,,html-keyboard-response,45,54711,0.0-1.0-8.0-0.2-1.2-0.2,0,0,3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,1.249,
46,,isi,,html-keyboard-response,46,54815,0.0-1.0-8.0-0.2-2.2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.5,
47,,feedback,,html-keyboard-response,47,55820,0.0-1.0-8.0-0.2-3.2-0.2,0,0,3,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,
48,,iti,,html-keyboard-response,48,55928,0.0-1.0-8.0-0.2-5.2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,3.5,
49,,choice,,html-keyboard-response,49,56023,0.0-1.0-9.0-0.0-0.0,0,0,3,,91.0,,,50.0,7.0,7.0,2000.0,1000.0,0.0,1.0,0.0,40-60,,0.0,pen,tent,40.0,60.0,pen6,tent6,20.0,80.0,executive_pen2.jpg,lighthouse_tent_edited_1-1.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/executive_pen2.jpg,/static/Category_learning/Stimuli/Experimental_stims/tent/lighthouse_tent_edited_1-1.jpg,1.0,pen,tent,40.0,60.0,pen6,tent6,20.0,80.0,0.0,28.591,0.091,
50,,confirmation,,html-keyboard-response,50,57437,0.0-1.0-9.0-0.0-1.0-0.0,0,0,3,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,1.409,
51,,isi,,html-keyboard-response,51,57542,0.0-1.0-9.0-0.0-2.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,
52,,feedback,,html-keyboard-response,52,58550,0.0-1.0-9.0-0.0-3.0-0.0,0,0,3,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.0,
53,,iti,,html-keyboard-response,53,58659,0.0-1.0-9.0-0.0-5.0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,1.0,
