,success,ttype,start_time,trial_type,trial_index,time_elapsed,internal_node_id,warning,missed_checkup,PID,view_history,rt,responses,repeat_instructions,key_press,index,trial_num,isi,iti,is_practice,block,old_trial,pair_type,within_category,high_cat_on_left,left_category,right_category,left_category_value,right_category_value,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_img,right_img,left_img_path,right_img_path,left_chosen,chosen_category,unchosen_category,chosen_category_value,unchosen_category_value,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value,no_response,onset,duration,end_practice,total_bonus_tally
1493,,confirmation,,html-keyboard-response,1493,2217030,0.0-1.0-284.0-0.0-1.0-0.0,0,0,95248,,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.5,0.603,,
1494,,isi,,html-keyboard-response,1494,2218038,0.0-1.0-284.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.5,1.0,,
1495,,feedback,,html-keyboard-response,1495,2219046,0.0-1.0-284.0-0.0-3.0-0.0,0,0,95248,,,,,,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.5,1.0,,
1496,,iti,,html-keyboard-response,1496,2221051,0.0-1.0-284.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.5,2.0,,
1497,,choice,,html-keyboard-response,1497,2221791,0.0-1.0-285.0-0.0-0.0,0,0,95248,,735.0,,,68.0,283.0,297.0,2000.0,1000.0,0.0,5.0,0.0,20-60,,1.0,pen,fan,60.0,20.0,pen14,fan6,80.0,40.0,pen05.jpg,30090.fpx.jpg,/static/Category_learning/Stimuli/Experimental_stims/pen/pen05.jpg,/static/Category_learning/Stimuli/Experimental_stims/fan/30090.fpx.jpg,1.0,pen,fan,60.0,20.0,pen14,fan6,80.0,40.0,0.0,325.235,0.735,,
1498,,confirmation,,html-keyboard-response,1498,2222565,0.0-1.0-285.0-0.0-1.0-0.0,0,0,95248,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.0,0.765,,
1499,,isi,,html-keyboard-response,1499,2224571,0.0-1.0-285.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,2.0,,
1500,,feedback,,html-keyboard-response,1500,2225579,0.0-1.0-285.0-0.0-3.0-0.0,0,0,95248,,,,,,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,1.0,,
1501,,iti,,html-keyboard-response,1501,2226586,0.0-1.0-285.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0,1.0,,
1502,,choice,,html-keyboard-response,1502,2227516,0.0-1.0-286.0-0.0-0.0,0,0,95248,,924.0,,,75.0,284.0,298.0,1500.0,1500.0,0.0,5.0,0.0,20-60,,0.0,door knob,patio lounge chair,20.0,60.0,door knob11,patio lounge chair3,40.0,80.0,500_MEAMEAOB.jpg,Lounge_Chair.jpg,/static/Category_learning/Stimuli/Experimental_stims/door knob/500_MEAMEAOB.jpg,/static/Category_learning/Stimuli/Experimental_stims/patio lounge chair/Lounge_Chair.jpg,0.0,patio lounge chair,door knob,60.0,20.0,patio lounge chair3,door knob11,80.0,40.0,0.0,330.924,0.924,,
1503,,confirmation,,html-keyboard-response,1503,2228102,0.0-1.0-286.0-0.0-1.0-0.0,0,0,95248,,,,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5,0.576,,
1504,,isi,,html-keyboard-response,1504,2229608,0.0-1.0-286.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.0,1.5,,
1505,,feedback,,html-keyboard-response,1505,2230617,0.0-1.0-286.0-0.0-3.0-0.0,0,0,95248,,,,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,1.0,,
1506,,iti,,html-keyboard-response,1506,2232122,0.0-1.0-286.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.5,1.5,,
1507,,choice,,html-keyboard-response,1507,2232967,0.0-1.0-287.0-0.0-0.0,0,0,95248,,842.0,,,68.0,285.0,299.0,1000.0,2000.0,0.0,5.0,0.0,40-80,,1.0,yarn,key chain,80.0,40.0,yarn1,key chain5,100.0,20.0,corn_yarn.jpg,keychain-metal-logo.jpg,/static/Category_learning/Stimuli/Experimental_stims/yarn/corn_yarn.jpg,/static/Category_learning/Stimuli/Experimental_stims/key chain/keychain-metal-logo.jpg,1.0,yarn,key chain,80.0,40.0,yarn1,key chain5,100.0,20.0,0.0,336.342,0.842,,
1508,,confirmation,,html-keyboard-response,1508,2233632,0.0-1.0-287.0-0.0-1.0-0.0,0,0,95248,,,,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,0.658,,
1509,,isi,,html-keyboard-response,1509,2234638,0.0-1.0-287.0-0.0-2.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,1.0,,
1510,,feedback,,html-keyboard-response,1510,2235643,0.0-1.0-287.0-0.0-3.0-0.0,0,0,95248,,,,,,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.0,1.0,,
1511,,iti,,html-keyboard-response,1511,2237648,0.0-1.0-287.0-0.0-5.0,0,0,95248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,2.0,,
