trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
14,1,0,0,60-80,80,60,20,1,1000,1000,microscope,bench,microscope12,bench12,60,80,283,28,usbdigitalmicroscope1_small1.jpg,22927976.thl.jpg,Stimuli/Experimental_stims/microscope/usbdigitalmicroscope1_small1.jpg,Stimuli/Experimental_stims/bench/22927976.thl.jpg
15,1,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
16,1,0,0,20-40,20,40,-20,0,1000,1000,poker card,yarn,poker card3,yarn4,0,40,376,598,9817131.thl.jpg,amethyst dreaming boho hy sml.jpg,Stimuli/Experimental_stims/poker card/9817131.thl.jpg,Stimuli/Experimental_stims/yarn/amethyst dreaming boho hy sml.jpg
17,1,0,0,40-80,40,80,-40,0,1000,3500,trumpet,microscope,trumpet11,microscope8,20,80,554,279,JUPITER+JTR604L.jpg,AMICROS21.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+JTR604L.jpg,Stimuli/Experimental_stims/microscope/AMICROS21.jpg
18,1,0,0,60-80,60,80,-20,0,1000,1500,baby carriage,hammer,baby carriage5,hammer8,80,80,4,177,Baby_Stroller.jpg,ct1006_hammer.jpg,Stimuli/Experimental_stims/baby carriage/Baby_Stroller.jpg,Stimuli/Experimental_stims/hammer/ct1006_hammer.jpg
19,1,0,0,60-60,60,60,0,NA,3500,1500,fan,flashlight,fan6,flashlight1,60,40,124,136,30090.fpx.jpg,Graphite3D.jpg,Stimuli/Experimental_stims/fan/30090.fpx.jpg,Stimuli/Experimental_stims/flashlight/Graphite3D.jpg
20,1,0,0,20-80,80,20,60,1,1000,1000,frame,patio lounge chair,frame11,patio lounge chair9,100,20,163,348,AFRAME139.jpg,43-3.jpg,Stimuli/Experimental_stims/frame/AFRAME139.jpg,Stimuli/Experimental_stims/patio lounge chair/43-3.jpg
21,1,0,0,40-80,40,80,-40,0,1000,2000,telescope,license plate,telescope11,license plate14,40,100,503,234,digimarc.ms03.jpg,fl-hel-bel.jpg,Stimuli/Experimental_stims/telescope/digimarc.ms03.jpg,Stimuli/Experimental_stims/license plate/fl-hel-bel.jpg
22,1,0,1,NaN,NA,NA,NA,NA,1500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
23,1,0,0,40-80,80,40,40,1,1500,1000,license plate,train,license plate9,train6,60,20,229,532,nm-dhg089.jpg,train9.jpg,Stimuli/Experimental_stims/license plate/nm-dhg089.jpg,Stimuli/Experimental_stims/train/train9.jpg
24,1,0,1,NaN,NA,NA,NA,NA,1500,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
25,1,0,0,40-60,40,60,-20,0,2000,1500,trumpet,flashlight,trumpet4,flashlight2,20,60,547,137,JUPITER+JTR1000S.jpg,AV-9 No Battery Flashlight.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+JTR1000S.jpg,Stimuli/Experimental_stims/flashlight/AV-9 No Battery Flashlight.jpg
26,1,0,0,40-60,40,60,-20,0,3000,1500,stool,bowl,stool9,bowl8,40,40,467,58,ASTOOL7.jpg,ASLVBOWL.jpg,Stimuli/Experimental_stims/stool/ASTOOL7.jpg,Stimuli/Experimental_stims/bowl/ASLVBOWL.jpg
27,1,0,0,80-80,80,80,0,NA,1000,1000,key chain,lipstick,key chain8,lipstick5,100,80,211,242,Keychain01.jpg,P35719_hero.jpg,Stimuli/Experimental_stims/key chain/Keychain01.jpg,Stimuli/Experimental_stims/lipstick/P35719_hero.jpg
28,1,0,0,60-60,60,60,0,NA,1500,3500,bench,desk,bench7,desk5,40,80,23,72,ACONBENCH.jpg,ADESK6.jpg,Stimuli/Experimental_stims/bench/ACONBENCH.jpg,Stimuli/Experimental_stims/desk/ADESK6.jpg
29,1,0,1,NaN,NA,NA,NA,NA,1000,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
30,1,0,0,40-60,40,60,-20,0,3500,2000,stool,dresser,stool10,dresser12,60,60,468,113,ASTOOL26.jpg,ADRESSE58.jpg,Stimuli/Experimental_stims/stool/ASTOOL26.jpg,Stimuli/Experimental_stims/dresser/ADRESSE58.jpg
31,1,0,1,NaN,NA,NA,NA,NA,2000,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
32,1,0,0,40-40,40,40,0,NA,2000,1500,stool,tape,stool8,tape9,60,40,466,484,ASTOOL33.jpg,desk tape disp.jpg,Stimuli/Experimental_stims/stool/ASTOOL33.jpg,Stimuli/Experimental_stims/tape/desk tape disp.jpg
33,1,0,0,40-40,40,40,0,NA,3000,1000,yarn,tent,yarn10,tent5,60,60,604,514,revelation-yarn.jpg,Dome Tentnb87r67.jpg,Stimuli/Experimental_stims/yarn/revelation-yarn.jpg,Stimuli/Experimental_stims/tent/Dome Tentnb87r67.jpg
34,1,0,0,20-20,20,20,0,NA,1500,1000,pen,nail polish,pen2,nail polish3,20,40,358,308,Montblanc-Blu-Starwalker-BP copy.jpg,327636.jpg,Stimuli/Experimental_stims/pen/Montblanc-Blu-Starwalker-BP copy.jpg,Stimuli/Experimental_stims/nail polish/327636.jpg
35,1,0,0,40-60,40,60,-20,0,1000,1500,stool,dresser,stool2,dresser14,20,60,460,115,ASTOOL46.jpg,Adressertabl3.jpg,Stimuli/Experimental_stims/stool/ASTOOL46.jpg,Stimuli/Experimental_stims/dresser/Adressertabl3.jpg
36,1,0,0,20-80,20,80,-60,0,1000,1500,necklace,motorcycle,necklace2,motorcycle2,20,100,324,290,Anecklace7.jpg,motorcycle33.jpg,Stimuli/Experimental_stims/necklace/Anecklace7.jpg,Stimuli/Experimental_stims/motorcycle/motorcycle33.jpg
37,1,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
38,1,0,0,20-60,20,60,-40,0,1000,3000,sofa,bongo,sofa9,bongo12,20,40,450,45,ALOVSEAT9.jpg,26686609.thl.jpg,Stimuli/Experimental_stims/sofa/ALOVSEAT9.jpg,Stimuli/Experimental_stims/bongo/26686609.thl.jpg
39,1,0,0,20-20,20,20,0,NA,3000,3000,patio lounge chair,seashell,patio lounge chair14,seashell13,40,0,353,420,2987951.jpg,coquillage22.jpg,Stimuli/Experimental_stims/patio lounge chair/2987951.jpg,Stimuli/Experimental_stims/seashell/coquillage22.jpg
40,1,0,0,60-80,80,60,20,1,2000,2000,makeup compact,flashlight,makeup compact9,flashlight10,100,80,263,145,b_102019.jpg,834784_sk_lg.jpg,Stimuli/Experimental_stims/makeup compact/b_102019.jpg,Stimuli/Experimental_stims/flashlight/834784_sk_lg.jpg
41,1,0,1,NaN,NA,NA,NA,NA,1000,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
42,1,0,0,40-80,80,40,40,1,1500,1000,makeup compact,trumpet,makeup compact6,trumpet13,80,40,260,556,P0754_hero.jpg,JUPITER+JTR1600GS.jpg,Stimuli/Experimental_stims/makeup compact/P0754_hero.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+JTR1600GS.jpg
43,1,0,0,80-80,80,80,0,NA,2000,1000,hat,makeup compact,hat2,makeup compact10,100,60,188,264,Ahatwithfeat7.jpg,P95108_hero.jpg,Stimuli/Experimental_stims/hat/Ahatwithfeat7.jpg,Stimuli/Experimental_stims/makeup compact/P95108_hero.jpg
44,1,0,0,40-60,60,40,20,1,1500,1500,fan,tent,fan1,tent4,80,40,119,513,01393.fpx.jpg,Atent12.jpg,Stimuli/Experimental_stims/fan/01393.fpx.jpg,Stimuli/Experimental_stims/tent/Atent12.jpg
45,1,0,1,NaN,NA,NA,NA,NA,3500,2000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
46,1,0,0,40-80,40,80,-40,0,1500,2000,yarn,lipstick,yarn8,lipstick9,60,100,602,246,smonlineyarn-285x250.jpg,P189145_hero.jpg,Stimuli/Experimental_stims/yarn/smonlineyarn-285x250.jpg,Stimuli/Experimental_stims/lipstick/P189145_hero.jpg
47,1,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
48,1,0,0,40-60,40,60,-20,0,1000,1500,train,flashlight,train8,flashlight12,40,60,534,147,PL51190.jpg,new05.jpg,Stimuli/Experimental_stims/train/PL51190.jpg,Stimuli/Experimental_stims/flashlight/new05.jpg
49,1,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
50,1,0,0,20-80,80,20,60,1,2000,1000,lipstick,sofa,lipstick13,sofa8,60,20,250,449,P184708_hero.jpg,allegro-leather-sofa-med2.jpg,Stimuli/Experimental_stims/lipstick/P184708_hero.jpg,Stimuli/Experimental_stims/sofa/allegro-leather-sofa-med2.jpg
51,1,0,0,40-60,40,60,-20,0,2000,1000,stool,baby carriage,stool5,baby carriage11,40,80,463,10,ASTOOL23.jpg,Baby_Carriage-2.jpg,Stimuli/Experimental_stims/stool/ASTOOL23.jpg,Stimuli/Experimental_stims/baby carriage/Baby_Carriage-2.jpg
52,1,0,0,40-40,40,40,0,NA,2000,1000,telescope,vase,telescope10,vase4,20,60,502,564,digimarc.ms02.jpg,Avase111.jpg,Stimuli/Experimental_stims/telescope/digimarc.ms02.jpg,Stimuli/Experimental_stims/vase/Avase111.jpg
53,1,0,1,NaN,NA,NA,NA,NA,1500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
54,1,0,0,20-80,80,20,60,1,1500,2000,hat,nail polish,hat3,nail polish14,100,40,189,319,Astrawhat49.jpg,38031405.JPG,Stimuli/Experimental_stims/hat/Astrawhat49.jpg,Stimuli/Experimental_stims/nail polish/38031405.JPG
55,1,0,0,20-60,20,60,-40,0,1000,3000,necklace,bench,necklace6,bench4,0,40,328,20,Agoldnecklace.jpg,30892819.thl.jpg,Stimuli/Experimental_stims/necklace/Agoldnecklace.jpg,Stimuli/Experimental_stims/bench/30892819.thl.jpg
56,1,0,0,20-80,80,20,60,1,1500,1000,key chain,sofa,key chain1,sofa13,80,40,204,454,jm05s16.jpg,ACOUCH25.jpg,Stimuli/Experimental_stims/key chain/jm05s16.jpg,Stimuli/Experimental_stims/sofa/ACOUCH25.jpg
57,1,0,1,NaN,NA,NA,NA,NA,1000,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
58,1,0,0,40-80,40,80,-40,0,1000,3000,tent,hat,tent14,hat14,20,60,523,200,inflatable-tent.jpg,Ahat136.jpg,Stimuli/Experimental_stims/tent/inflatable-tent.jpg,Stimuli/Experimental_stims/hat/Ahat136.jpg
59,1,0,0,20-80,80,20,60,1,1500,1500,frame,sofa,frame5,sofa11,60,0,157,452,AFRAME136.jpg,ALOVSEA19.jpg,Stimuli/Experimental_stims/frame/AFRAME136.jpg,Stimuli/Experimental_stims/sofa/ALOVSEA19.jpg
60,1,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
61,1,0,0,20-40,20,40,-20,0,1500,3500,pen,vase,pen4,vase9,40,40,360,569,Montblanc_Greta_Garbo_BP copy.jpg,Avasewithang2.jpg,Stimuli/Experimental_stims/pen/Montblanc_Greta_Garbo_BP copy.jpg,Stimuli/Experimental_stims/vase/Avasewithang2.jpg
62,1,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
63,1,0,0,20-60,60,20,40,1,2000,1000,flashlight,nail polish,flashlight9,nail polish5,60,0,144,310,new06.jpg,182_t.jpg,Stimuli/Experimental_stims/flashlight/new06.jpg,Stimuli/Experimental_stims/nail polish/182_t.jpg
64,1,0,0,40-80,80,40,40,1,1500,2000,motorcycle,watch,motorcycle10,watch6,80,60,298,583,motorcycle17.jpg,B0000X04VC.01-A4LKQQKJ91IUZ._AA280_SCLZZZZZZZ_.jpg,Stimuli/Experimental_stims/motorcycle/motorcycle17.jpg,Stimuli/Experimental_stims/watch/B0000X04VC.01-A4LKQQKJ91IUZ._AA280_SCLZZZZZZZ_.jpg
65,2,0,0,40-40,40,40,0,NA,2000,3000,watch,tape,watch9,tape2,40,20,586,477,mens-diamond-watches-euro-48733-ab.jpg,Tape_Dispenser.jpg,Stimuli/Experimental_stims/watch/mens-diamond-watches-euro-48733-ab.jpg,Stimuli/Experimental_stims/tape/Tape_Dispenser.jpg
66,2,0,0,20-60,20,60,-40,0,1500,3000,pen,bowl,pen3,bowl13,0,80,359,63,pen08.jpg,Asoupbowl8.jpg,Stimuli/Experimental_stims/pen/pen08.jpg,Stimuli/Experimental_stims/bowl/Asoupbowl8.jpg
67,2,0,0,20-60,20,60,-40,0,3000,1000,nail polish,bongo,nail polish1,bongo8,20,80,306,41,200.jpg,26390661.thl.jpg,Stimuli/Experimental_stims/nail polish/200.jpg,Stimuli/Experimental_stims/bongo/26390661.thl.jpg
68,2,0,0,20-20,20,20,0,NA,2000,1000,power strip,patio lounge chair,power strip14,patio lounge chair13,20,20,404,352,88b2c724-e781-44ae-85d5-27b7591f659d_400.jpg,grosfillex-bahia-resin-chaise-lounges.jpg,Stimuli/Experimental_stims/power strip/88b2c724-e781-44ae-85d5-27b7591f659d_400.jpg,Stimuli/Experimental_stims/patio lounge chair/grosfillex-bahia-resin-chaise-lounges.jpg
69,2,0,0,40-40,40,40,0,NA,1500,1500,tent,train,tent2,train1,40,40,511,527,Atent16.jpg,Model_Train.jpg,Stimuli/Experimental_stims/tent/Atent16.jpg,Stimuli/Experimental_stims/train/Model_Train.jpg
70,2,0,0,40-80,80,40,40,1,1500,1500,key chain,vase,key chain5,vase7,60,60,208,567,keychain-metal-logo.jpg,8246344.thl.jpg,Stimuli/Experimental_stims/key chain/keychain-metal-logo.jpg,Stimuli/Experimental_stims/vase/8246344.thl.jpg
71,2,0,0,20-40,20,40,-20,0,2000,1000,power strip,trumpet,power strip5,trumpet8,0,60,395,551,93e4a283-bcd6-4ad1-8add-339658cda0fc_400.jpg,trumpet33.jpg,Stimuli/Experimental_stims/power strip/93e4a283-bcd6-4ad1-8add-339658cda0fc_400.jpg,Stimuli/Experimental_stims/trumpet/trumpet33.jpg
72,2,0,0,40-80,80,40,40,1,1000,3500,key chain,watch,key chain10,watch3,80,60,213,580,Smurfs_Keychains_Smurf_Row_Boat.jpg,B0000TIIVO.01._SCLZZZZZZZ_V1124920780_.jpg,Stimuli/Experimental_stims/key chain/Smurfs_Keychains_Smurf_Row_Boat.jpg,Stimuli/Experimental_stims/watch/B0000TIIVO.01._SCLZZZZZZZ_V1124920780_.jpg
73,2,0,0,20-60,20,60,-40,0,2000,2000,small table,baby carriage,small table3,baby carriage14,20,80,427,13,Atable122.jpg,peg_perego_uno_verde.jpg,Stimuli/Experimental_stims/small table/Atable122.jpg,Stimuli/Experimental_stims/baby carriage/peg_perego_uno_verde.jpg
74,2,0,0,40-60,60,40,20,1,3500,2000,baby carriage,train,baby carriage13,train15,40,40,12,541,300px-Barnevogn2.jpg,master-TD006.jpg,Stimuli/Experimental_stims/baby carriage/300px-Barnevogn2.jpg,Stimuli/Experimental_stims/train/master-TD006.jpg
75,2,0,0,40-80,40,80,-40,0,1000,1000,trumpet,hat,trumpet2,hat12,40,60,545,198,Matt-Stevens-Pocket-Trumpet.jpg,Aformalhat5.jpg,Stimuli/Experimental_stims/trumpet/Matt-Stevens-Pocket-Trumpet.jpg,Stimuli/Experimental_stims/hat/Aformalhat5.jpg
76,2,0,0,20-40,40,20,20,1,1000,1000,trumpet,poker card,trumpet1,poker card2,60,40,544,375,JUPITER+TROMPETTE+606MRL.JPG,22864716.thl.jpg,Stimuli/Experimental_stims/trumpet/JUPITER+TROMPETTE+606MRL.JPG,Stimuli/Experimental_stims/poker card/22864716.thl.jpg
77,2,0,0,20-80,80,20,60,1,1000,1500,microscope,necklace,microscope5,necklace4,100,20,276,326,emMicroscope.jpg,emerald_diamond_necklace.jpg,Stimuli/Experimental_stims/microscope/emMicroscope.jpg,Stimuli/Experimental_stims/necklace/emerald_diamond_necklace.jpg
78,2,0,1,NaN,NA,NA,NA,NA,2000,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
79,2,0,1,NaN,NA,NA,NA,NA,3500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
80,2,0,0,20-80,20,80,-60,0,2000,1000,pen,key chain,pen6,key chain13,40,100,362,216,executive_pen2.jpg,Fancy_Liquid_Column_Shape_Key_Ring_with_Floater.jpg,Stimuli/Experimental_stims/pen/executive_pen2.jpg,Stimuli/Experimental_stims/key chain/Fancy_Liquid_Column_Shape_Key_Ring_with_Floater.jpg
81,2,0,0,60-60,60,60,0,NA,2000,3500,bowl,bench,bowl7,bench2,80,60,57,18,Abowl54.jpg,26369969.thl.jpg,Stimuli/Experimental_stims/bowl/Abowl54.jpg,Stimuli/Experimental_stims/bench/26369969.thl.jpg
82,2,0,0,60-80,80,60,20,1,1500,1000,frame,bench,frame14,bench1,80,40,166,17,AFRAME129.jpg,26419975.thl.jpg,Stimuli/Experimental_stims/frame/AFRAME129.jpg,Stimuli/Experimental_stims/bench/26419975.thl.jpg
83,2,0,0,20-80,80,20,60,1,1000,1500,key chain,poker card,key chain6,poker card12,80,20,209,385,highboy_keychain_ItemCA75384.jpg,22865676.thl.jpg,Stimuli/Experimental_stims/key chain/highboy_keychain_ItemCA75384.jpg,Stimuli/Experimental_stims/poker card/22865676.thl.jpg
84,2,0,0,20-60,20,60,-40,0,1500,2000,poker card,bowl,poker card6,bowl1,40,40,379,51,22864212.thl.jpg,ABOWLS6.jpg,Stimuli/Experimental_stims/poker card/22864212.thl.jpg,Stimuli/Experimental_stims/bowl/ABOWLS6.jpg
85,2,0,1,NaN,NA,NA,NA,NA,3500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
86,2,0,0,40-80,80,40,40,1,1000,1000,frame,tape,frame1,tape11,80,20,153,486,AFRAME127.jpg,41FZA73H4JL._AA280_.jpg,Stimuli/Experimental_stims/frame/AFRAME127.jpg,Stimuli/Experimental_stims/tape/41FZA73H4JL._AA280_.jpg
87,2,0,0,20-60,60,20,40,1,1000,1500,bowl,seashell,bowl12,seashell1,40,0,62,408,Abowl52.jpg,Aseashe34.jpg,Stimuli/Experimental_stims/bowl/Abowl52.jpg,Stimuli/Experimental_stims/seashell/Aseashe34.jpg
88,2,0,0,40-60,60,40,20,1,1000,1500,desk,watch,desk2,watch15,80,40,69,592,AA Luffield Radial crescent Desk 1600mm x 1200mm.jpg,20-171-6.jpg,Stimuli/Experimental_stims/desk/AA Luffield Radial crescent Desk 1600mm x 1200mm.jpg,Stimuli/Experimental_stims/watch/20-171-6.jpg
89,2,0,1,NaN,NA,NA,NA,NA,3000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
90,2,0,0,40-60,40,60,-20,0,1000,1000,tape,dresser,tape1,dresser2,20,80,476,103,aktotape_01.jpg,ADRESSE46.jpg,Stimuli/Experimental_stims/tape/aktotape_01.jpg,Stimuli/Experimental_stims/dresser/ADRESSE46.jpg
91,2,0,0,80-80,80,80,0,NA,1000,2000,lipstick,frame,lipstick3,frame6,80,60,240,158,31sCvjMS3jL._SS500_.jpg,AFRAME123.jpg,Stimuli/Experimental_stims/lipstick/31sCvjMS3jL._SS500_.jpg,Stimuli/Experimental_stims/frame/AFRAME123.jpg
92,2,0,0,40-80,40,80,-40,0,1500,1500,yarn,hat,yarn9,hat9,60,100,603,195,Aballofyarn26.jpg,Astrawhat44.jpg,Stimuli/Experimental_stims/yarn/Aballofyarn26.jpg,Stimuli/Experimental_stims/hat/Astrawhat44.jpg
93,2,0,0,20-80,20,80,-60,0,1000,1000,power strip,motorcycle,power strip7,motorcycle13,20,80,397,301,412YZ25RFBL._AA262_.jpg,2005-Buell-FireboltXB12R.jpg,Stimuli/Experimental_stims/power strip/412YZ25RFBL._AA262_.jpg,Stimuli/Experimental_stims/motorcycle/2005-Buell-FireboltXB12R.jpg
94,2,0,0,40-80,40,80,-40,0,2000,1000,telescope,makeup compact,telescope9,makeup compact11,60,100,501,265,13TELESTAND.jpg,P190255_hero.jpg,Stimuli/Experimental_stims/telescope/13TELESTAND.jpg,Stimuli/Experimental_stims/makeup compact/P190255_hero.jpg
95,2,0,0,40-60,60,40,20,1,1000,1000,door knob,tape,door knob5,tape7,60,60,89,482,Parth_Portofino_500.jpg,tape dispenser.jpg,Stimuli/Experimental_stims/door knob/Parth_Portofino_500.jpg,Stimuli/Experimental_stims/tape/tape dispenser.jpg
96,2,0,1,NaN,NA,NA,NA,NA,1000,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
97,2,0,0,60-80,80,60,20,1,1000,3000,microscope,desk,microscope11,desk1,60,40,282,68,konus5604microscope.jpg,ADESK11.jpg,Stimuli/Experimental_stims/microscope/konus5604microscope.jpg,Stimuli/Experimental_stims/desk/ADESK11.jpg
98,2,0,0,20-80,80,20,60,1,1500,1000,motorcycle,small table,motorcycle15,small table9,60,0,303,433,2006-Buell-LightningXB12Sa.jpg,ATABLE79.jpg,Stimuli/Experimental_stims/motorcycle/2006-Buell-LightningXB12Sa.jpg,Stimuli/Experimental_stims/small table/ATABLE79.jpg
99,2,0,1,NaN,NA,NA,NA,NA,3500,1500,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
100,2,0,0,40-60,40,60,-20,0,1500,1000,trumpet,desk,trumpet12,desk14,20,60,555,81,hornabariton.jpg,26419960.thl.jpg,Stimuli/Experimental_stims/trumpet/hornabariton.jpg,Stimuli/Experimental_stims/desk/26419960.thl.jpg
101,2,0,0,80-80,80,80,0,NA,1000,2000,microscope,key chain,microscope15,key chain2,100,100,286,205,Amicroscope23.jpg,superman_returns_pewter_keychain_2.jpg,Stimuli/Experimental_stims/microscope/Amicroscope23.jpg,Stimuli/Experimental_stims/key chain/superman_returns_pewter_keychain_2.jpg
102,2,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
103,2,0,0,40-80,40,80,-40,0,1000,2000,vase,microscope,vase8,microscope1,40,100,568,272,Avase171.jpg,digital-blue-microscope-qx5-md.jpg,Stimuli/Experimental_stims/vase/Avase171.jpg,Stimuli/Experimental_stims/microscope/digital-blue-microscope-qx5-md.jpg
104,2,0,0,40-60,40,60,-20,0,2000,2000,watch,fan,watch7,fan4,60,80,584,122,0900631b80baee56M.jpg,AFAN39.jpg,Stimuli/Experimental_stims/watch/0900631b80baee56M.jpg,Stimuli/Experimental_stims/fan/AFAN39.jpg
105,2,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
106,2,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
107,2,0,1,NaN,NA,NA,NA,NA,3000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
