trial_num,block,is_practice,old_trial,pair_type,left_category_value,right_category_value,delta_category_value,high_cat_on_left,iti,isi,left_category,right_category,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_stim_index,right_stim_index,left_img,right_img,left_img_path,right_img_path
52,1,0,0,20-40,20,40,-20,0,1000,2000,flashlight,makeup compact,flashlight2,makeup compact13,0,40,137,267,AV-9 No Battery Flashlight.jpg,31YfapjS3TL._AA250_.jpg,Stimuli/Experimental_stims/flashlight/AV-9 No Battery Flashlight.jpg,Stimuli/Experimental_stims/makeup compact/31YfapjS3TL._AA250_.jpg
53,1,0,0,20-60,60,20,40,1,1000,1500,sofa,bongo,sofa4,bongo4,40,0,445,37,ALOVSEA15.jpg,26390708.thl.jpg,Stimuli/Experimental_stims/sofa/ALOVSEA15.jpg,Stimuli/Experimental_stims/bongo/26390708.thl.jpg
54,1,0,1,NaN,NA,NA,NA,NA,1000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
55,1,0,0,20-80,20,80,-60,0,1500,1000,flashlight,train,flashlight14,train11,20,60,149,537,freeplay-jonta-flashlight.jpg,train1.jpg,Stimuli/Experimental_stims/flashlight/freeplay-jonta-flashlight.jpg,Stimuli/Experimental_stims/train/train1.jpg
56,1,0,0,20-80,20,80,-60,0,1500,1000,fan,stool,fan12,stool9,0,100,130,467,116544_sk_lg.jpg,ASTOOL7.jpg,Stimuli/Experimental_stims/fan/116544_sk_lg.jpg,Stimuli/Experimental_stims/stool/ASTOOL7.jpg
57,1,0,0,20-40,40,20,20,1,1000,1500,motorcycle,bench,motorcycle12,bench4,40,0,300,20,motorcycle14.jpg,30892819.thl.jpg,Stimuli/Experimental_stims/motorcycle/motorcycle14.jpg,Stimuli/Experimental_stims/bench/30892819.thl.jpg
58,1,0,1,NaN,NA,NA,NA,NA,2000,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
59,1,0,0,40-80,40,80,-40,0,2000,2000,microscope,yarn,microscope12,yarn2,40,60,283,596,usbdigitalmicroscope1_small1.jpg,Aballofyarn66.jpg,Stimuli/Experimental_stims/microscope/usbdigitalmicroscope1_small1.jpg,Stimuli/Experimental_stims/yarn/Aballofyarn66.jpg
60,1,0,0,60-60,60,60,0,NA,1500,1000,nail polish,necklace,nail polish2,necklace8,80,40,307,330,froggy_t.jpg,Anecklace20.jpg,Stimuli/Experimental_stims/nail polish/froggy_t.jpg,Stimuli/Experimental_stims/necklace/Anecklace20.jpg
61,1,0,0,60-80,80,60,20,1,1500,1000,stool,small table,stool15,small table6,100,80,473,430,ASTOOL.jpg,ATABLE88.jpg,Stimuli/Experimental_stims/stool/ASTOOL.jpg,Stimuli/Experimental_stims/small table/ATABLE88.jpg
62,1,0,0,40-60,60,40,20,1,1000,1000,seashell,microscope,seashell9,microscope11,80,20,416,282,ASEASH5.jpg,konus5604microscope.jpg,Stimuli/Experimental_stims/seashell/ASEASH5.jpg,Stimuli/Experimental_stims/microscope/konus5604microscope.jpg
63,1,0,0,20-80,20,80,-60,0,1500,1000,bowl,stool,bowl3,stool5,40,60,53,463,ABOWL8.jpg,ASTOOL23.jpg,Stimuli/Experimental_stims/bowl/ABOWL8.jpg,Stimuli/Experimental_stims/stool/ASTOOL23.jpg
64,1,0,1,NaN,NA,NA,NA,NA,3500,1000,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NaN,NaN,NaN,NaN
65,2,0,0,40-80,80,40,40,1,1000,1000,watch,makeup compact,watch1,makeup compact9,80,40,578,263,B000B5K8XI.01-A2E7J74KJYV9ZH._AA280_SCLZZZZZZZ_V53007008_.jpg,b_102019.jpg,Stimuli/Experimental_stims/watch/B000B5K8XI.01-A2E7J74KJYV9ZH._AA280_SCLZZZZZZZ_V53007008_.jpg,Stimuli/Experimental_stims/makeup compact/b_102019.jpg
66,2,0,0,20-80,80,20,60,1,2000,3500,vase,bench,vase12,bench13,100,40,572,29,Abluevase2.jpg,ABROWNBE4.jpg,Stimuli/Experimental_stims/vase/Abluevase2.jpg,Stimuli/Experimental_stims/bench/ABROWNBE4.jpg
